OCCURRENCE
Evento_lema	Frecuencia
go	196
make	124
come	122
do	108
take	104
get	103
look	57
sit	55
stand	53
give	50
find	49
write	47
remember	47
turn	44
talk	44
wait	39
pass	33
feel	32
work	31
read	30
left	29
care	29
meet	29
speak	28
round	28
fall	28
lay	26
bend	25
draw	24
move	24
bring	24
walk	24
marry	24
whisper	24
know	23
put	22
run	22
hold	21
laugh	21
wear	21
hang	20
leave	19
used	18
live	18
understand	18
forget	18
let	18
eat	17
rise	17
catch	17
throw	17
wish	17
grow	16
change	16
repeat	16
mutter	16
push	15
break	15
smile	15
spend	15
cry	14
fix	14
slip	14
carry	13
receive	13
stare	13
raise	12
drop	12
gaze	12
strike	12
love	12
creep	11
putt	11
pay	11
tire	11
drive	11
bear	11
gather	11
hurry	11
tick	10
light	10
shut	10
remind	10
mind	10
devote	10
emerge	10
reach	10
suffer	10
murmur	10
follow	9
cut	9
lead	9
pull	9
call	9
deal	9
paint	9
answer	9
pour	9
cross	9
dress	8
picture	8
stay	8
happen	8
lie	8
belong	8
thrust	8
fight	8
amuse	8
drink	8
detain	8
mean	8
cover	8
return	8
fade	8
rest	8
lit	8
stretch	7
arrange	7
die	7
arrive	7
represent	7
exhibit	7
descend	7
behove	7
contain	7
address	7
show	7
play	7
disappear	7
layer	7
battle	7
bore	7
visit	7
save	7
frown	7
pace	7
shake	7
send	6
travel	6
refuse	6
lose	6
listen	6
separate	6
set	6
learn	6
torture	6
lean	6
sound	6
watch	6
express	6
tie	6
suppose	6
succeed	6
afford	6
dine	6
affect	6
knock	6
bound	6
collect	6
become	6
rejoin	6
pin	6
glance	6
toss	6
fill	5
rang	5
pause	5
print	5
desire	5
pick	5
adore	5
enjoy	5
burn	5
appear	5
delight	5
admire	5
hate	5
oblige	5
settle	5
thank	5
fold	5
produce	5
engage	5
shout	5
open	5
admit	5
notice	5
spoil	5
conversation	5
earn	5
fling	5
close	5
place	5
mention	5
tap	5
annoy	5
breathe	5
dislike	4
death	4
ceremony	4
swallow	4
pretend	4
stick	4
sob	4
spread	4
loom	4
sway	4
wander	4
sew	4
exist	4
recollect	4
chatter	4
comprehend	4
ascend	4
join	4
dance	4
endure	4
fetch	4
exchange	4
kiss	4
compete	4
entertain	4
prefer	4
swear	4
explain	4
sleep	4
accustom	4
dare	4
wax	4
sell	4
hand	4
twist	4
rattle	4
search	4
impart	4
sigh	4
observe	4
publish	4
ejaculate	4
sweep	4
shuffle	4
telegraph	4
rouse	4
interview	4
matter	4
roll	4
buy	4
near	4
bother	4
trim	4
blush	4
accentuate	4
discuss	4
hurt	4
miss	4
mourn	3
proceed	3
await	3
swell	3
speech	3
flutter	3
shine	3
crowd	3
blow	3
alter	3
cast	3
drag	3
efface	3
assume	3
seize	3
conceal	3
tragedy	3
sank	3
shift	3
sail	3
lift	3
whistle	3
ache	3
rejoice	3
