OCCURRENCE
Evento_lema	Frecuencia
come	338
make	328
go	306
take	255
give	221
do	218
cry	206
find	185
feel	161
exclaim	115
bring	110
stand	103
look	103
turn	98
used	98
meet	97
talk	94
grow	94
laugh	92
get	91
know	90
return	86
pass	82
speak	82
wish	81
understand	81
play	77
put	75
hold	74
set	69
fall	68
break	65
leave	65
admit	62
watch	61
observe	60
draw	60
change	58
run	56
live	56
remember	56
shake	52
left	52
throw	52
lead	52
let	49
rise	47
lose	46
follow	45
regard	45
marry	45
sit	45
mean	43
lay	43
send	41
answer	40
love	40
move	39
become	39
work	39
write	39
smile	38
walk	38
shew	37
forget	37
enjoy	37
care	36
bear	35
treat	35
act	34
suffer	33
refuse	32
wait	32
die	31
call	30
imagine	30
struggle	30
carry	29
strike	29
suppose	29
repeat	29
spend	29
listen	28
bend	28
remark	28
place	28
cut	27
receive	27
remind	27
hate	27
notice	27
save	27
layer	26
admire	26
read	26
pause	25
produce	25
cease	25
lean	24
learn	24
kill	24
use	24
arrive	24
happen	24
dare	23
cause	23
round	23
raise	23
endure	23
visit	23
dance	22
born	22
settle	22
wander	22
fill	22
enquire	22
teach	22
inspire	22
catch	22
drive	22
realize	22
express	21
force	21
prove	20
discuss	20
join	20
stir	20
decide	20
pay	20
sound	20
judge	19
possess	19
stay	19
confess	19
fight	19
face	19
dream	18
desire	18
mind	18
attack	17
satisfy	17
trust	17
decision	17
dispose	17
submit	17
close	17
respect	17
linger	17
discover	17
murmur	16
drag	16
rest	16
lie	16
destroy	16
spread	16
departure	16
wake	16
show	16
adopt	15
object	15
escape	15
grasp	15
fix	15
hesitate	15
prefer	15
sacrifice	15
gather	15
tempt	15
explain	15
shrug	15
offend	15
gain	14
build	14
create	14
occur	14
wear	14
determine	14
depend	14
crush	14
creep	14
resist	14
amuse	14
pursue	14
eat	13
provide	13
count	13
develop	13
remonstrate	13
form	13
rush	13
desert	13
offer	13
advance	13
bewilder	13
hang	13
fly	13
conversation	13
resign	13
induce	13
tire	13
glance	13
betray	13
