STATE
Evento_lema	Frecuencia
have	302
be	44
feel	29
remain	21
affect	16
live	16
glad	15
capable	14
hold	13
better	9
good	5
own	5
maintain	4
cost	4
successful	4
los	3
sure	3
enjoy	2
fair	2
wrong	2
doubtful	2
control	2
intolerable	2
incapable	2
result	2
cheerful	2
due	2
independent	2
offensive	2
weak	2
upstair	2
likely	2
true	2
wait	2
consciou	2
pleasant	2
serve	1
dead	1
convertible	1
inconsiderate	1
war	1
different	1
owe	1
possible	1
calmer	1
bad	1
eligible	1
necessary	1
submissive	1
guilty	1
welcome	1
prominent	1
intensity	1
greater	1
visible	1
incoherent	1
unfortunate	1
absurd	1
happy	1
ashame	1
suave	1
superior	1
wonderful	1
represent	1
indebt	1
useles	1
cold	1
unknown	1
worse	1
white	1
fatal	1
harmful	1
responsible	1
perceptible	1
dormant	1
remote	1
distress	1
content	1
foolish	1
compare	1
much	1
