STATE
Evento_lema	Frecuencia
have	162
remain	28
be	25
feel	17
live	13
own	6
enjoy	5
los	5
hold	4
belong	4
war	4
maintain	4
excellent	3
proud	3
cost	3
happy	3
fair	2
control	2
possible	2
relate	2
wait	2
remains	1
worthy	1
difficulty	1
here	1
long	1
affect	1
diligent	1
part	1
intensity	1
angry	1
apt	1
high	1
capable	1
represent	1
unknown	1
rich	1
gain	1
miserable	1
equal	1
necessary	1
sincere	1
seriou	1
unreasonable	1
responsible	1
mad	1
off	1
useful	1
happier	1
handsome	1
paramount	1
ill	1
consciou	1
irresistible	1
repulsive	1
successful	1
better	1
injure	1
dead	1
worth	1
on	1
uneasy	1
good	1
independent	1
allowable	1
amis	1
gay	1
easy	1
deficient	1
value	1
