OCCURRENCE
Evento_lema	Frecuencia
go	344
come	334
take	250
do	222
make	202
get	201
answer	171
cry	155
give	132
let	119
return	108
turn	104
sit	102
wish	100
bring	90
put	85
love	83
find	82
speak	81
leave	79
exclaim	77
look	75
run	71
left	68
walk	66
talk	66
set	64
grow	63
feel	60
stay	60
rise	59
die	58
hold	58
draw	54
stand	53
fall	52
bear	51
pass	49
bid	49
repeat	49
observe	47
strike	47
know	47
read	46
hate	45
raise	45
show	45
wait	44
send	44
laugh	43
live	42
break	41
visit	40
reach	40
watch	40
meet	40
guess	39
lay	39
move	39
remove	37
lie	37
shut	37
perceive	36
lose	36
change	36
eat	35
receive	34
follow	34
marry	34
remember	34
commence	33
inquire	33
forget	33
mutter	32
hurt	32
discover	32
desire	32
utter	31
kill	31
imagine	30
pull	30
throw	30
shake	30
layer	30
kiss	30
catch	30
weep	30
fling	29
care	29
lean	29
stare	29
close	29
listen	29
fancy	29
learn	29
seize	28
notice	28
suffer	28
refuse	28
interrupt	27
gather	27
drop	27
whisper	27
push	26
obey	26
write	26
quit	26
used	25
remark	25
spend	25
knock	25
call	25
rest	25
swear	25
depart	24
suppose	23
carry	23
play	23
lift	23
oblige	23
hang	22
fix	21
conceal	21
seat	21
rouse	21
cause	21
sleep	21
bend	21
gaze	21
behold	20
lead	20
drive	20
dream	20
forgive	20
stir	20
proceed	20
force	19
fill	19
endure	19
beg	19
spare	19
tremble	19
cross	19
descend	19
sob	19
enjoy	18
touch	18
settle	18
scold	18
amuse	18
dare	18
join	18
accompany	18
teach	18
speech	18
mind	18
hinder	17
reflect	17
understand	17
hasten	17
mention	17
fasten	17
glance	17
treat	17
vex	17
frighten	17
sing	17
grieve	17
lock	17
ride	16
provoke	16
smile	16
resolve	16
cover	16
address	16
hurry	16
wander	16
pursue	16
fly	16
hide	16
struggle	16
work	16
linger	16
stretch	15
detect	15
form	15
retire	15
putt	15
venture	15
bury	15
round	15
murmur	15
fetch	15
wont	15
inform	15
alter	15
steal	15
possess	15
determine	14
comprehend	14
reveal	14
drink	14
recollect	14
examine	14
cut	14
search	14
disturb	14
mean	14
retain	14
act	14
behave	14
succeed	14
pity	14
recover	14
save	14
express	13
thank	13
deserve	13
attend	13
thrust	13
snatch	13
dash	13
cast	13
persist	13
secure	13
enter	13
repent	13
pretend	13
gain	12
rush	12
encourage	12
mount	12
miss	12
render	12
kick	12
endeavour	12
curse	12
place	12
escap	12
starve	12
sprang	12
regard	12
happen	12
quarrel	12
despise	12
offer	12
arrange	12
use	12
tease	12
request	11
esteem	11
bestow	11
prove	11
restore	11
arrive	11
cease	11
wake	11
produce	11
creep	11
vanish	11
pay	11
nurse	11
dress	11
wash	11
contrive	11
shine	11
re-cover	11
encounter	11
object	11
remind	11
survey	11
divide	10
conjecture	10
check	10
shout	10
climb	10
open	10
swallow	10
tear	10
pour	10
scream	10
affirm	10
dread	10
sink	10
experience	10
light	10
recognise	10
born	10
prepare	10
shoot	10
sigh	10
fit	10
resemble	10
please	10
consent	10
incline	10
death	10
judge	10
trouble	9
blow	9
departure	9
distinguish	9
haunt	9
confess	9
shrink	9
advance	9
ramble	9
trust	9
refrain	9
gasp	9
excuse	9
retort	9
groan	9
last	9
drag	9
annoy	9
confound	9
slip	9
kneel	9
absorb	9
convince	9
excite	9
flatter	9
console	9
delight	9
evince	9
arrest	9
disappoint	9
interpose	8
issue	8
relax	8
extinguish	8
escape	8
shiver	8
jump	8
tie	8
flash	8
divert	8
deliver	8
suit	8
revive	8
crush	8
cling	8
shudder	8
wipe	8
owe	8
thunder	8
wrench	8
entertain	8
dispute	8
exchange	8
increase	8
bed	8
hit	8
fret	8
advise	8
waken	8
tire	8
shriek	8
scorn	8
convey	8
supply	8
deal	8
pant	8
breathe	8
yield	8
engage	8
entreat	8
alarm	8
shun	8
occupy	8
relieve	7
pause	7
retreat	7
growl	7
indulge	7
heave	7
meddle	7
offend	7
serve	7
step	7
shift	7
cherish	7
beware	7
enclose	7
fulfill	7
weary	7
hesitate	7
subdue	7
peruse	7
acquaint	7
halter	7
welcome	7
enquire	7
attract	7
breed	7
humour	7
admit	7
terrify	7
murder	7
dry	7
comb	7
kindle	7
bound	7
embrace	7
mark	7
persevere	7
provide	7
dislike	7
wring	7
impress	7
part	7
beat	7
ascertain	7
recall	7
fight	7
preserve	7
lodge	7
bide	7
detest	7
manage	7
burn	7
divine	7
admire	6
wink	6
leap	6
aid	6
reply	6
deem	6
discuss	6
wear	6
intimate	6
regret	6
cure	6
wax	6
nod	6
pinch	6
discern	6
fear	6
pick	6
blush	6
affect	6
burst	6
apply	6
direct	6
dig	6
flit	6
content	6
brood	6
tend	6
harass	6
soften	6
damn	6
deceive	6
confine	6
comfort	6
defy	6
stroke	6
frame	6
banish	6
annihilate	6
recommence	6
chatter	6
dismiss	6
relish	6
release	6
overhear	6
satisfy	6
swing	6
harm	6
summons	6
muse	6
explain	6
destroy	6
stoop	6
distress	6
interview	6
yearn	6
cheer	6
hev	6
obtain	6
resign	6
precede	5
expose	5
demand	5
lurk	5
curl	5
ascend	5
share	5
introduce	5
ejaculate	5
grasp	5
select	5
clench	5
counsel	5
tempt	5
reckon	5
prompt	5
bore	5
attack	5
spell	5
spread	5
await	5
execute	5
respond	5
wail	5
silence	5
moan	5
mourn	5
grind	5
strangle	5
calculate	5
sweep	5
suck	5
perform	5
partake	5
picture	5
study	5
hand	5
cheat	5
grumble	5
wrong	5
sympathise	5
buy	5
occasion	5
rear	5
sound	5
clasp	5
sparkle	5
rain	5
roll	5
scowl	5
borrow	5
flog	5
improve	5
separate	5
present	5
smooth	5
don	5
support	5
