OCCURRENCE
Evento_lema	Frecuencia
go	921
come	867
take	682
make	651
give	524
get	324
do	324
find	294
bring	263
pass	212
write	209
look	198
talk	195
put	195
know	194
cry	193
left	178
marry	165
laugh	159
meet	159
used	158
drive	145
send	138
leave	134
read	134
return	133
speak	132
walk	128
play	126
love	123
pay	119
fall	116
remember	115
visit	109
let	107
receive	104
turn	102
break	102
show	101
carry	98
hold	97
feel	97
sit	94
don’t	94
wish	89
paid	87
ride	83
live	80
dine	79
kiss	78
arrive	77
set	77
answer	75
run	74
follow	73
drink	71
forget	69
wait	69
rise	68
grow	67
hang	67
remark	66
shake	66
bear	66
lose	66
present	65
fling	65
round	65
die	64
blush	62
occupy	62
stand	62
cut	62
care	61
sate	60
buy	60
cause	59
wear	59
engage	57
lead	57
happen	56
smile	56
admire	56
perform	56
lay	56
change	56
win	55
watch	54
tremble	53
fight	52
deal	52
layer	52
mention	50
sleep	50
departure	49
sing	48
refuse	48
drop	48
listen	48
dress	47
place	47
purchase	46
quit	45
treat	45
move	45
become	45
swear	44
draw	43
pull	42
act	42
understand	42
beg	42
shoot	41
kill	41
march	41
stay	41
fly	40
console	39
work	39
determine	39
can’t	39
dance	38
attend	38
spend	38
lie	38
won’t	38
fill	37
fancy	37
conversation	37
sell	37
force	37
rush	36
ruin	36
use	35
introduce	35
throw	34
dare	34
close	33
join	33
didn’t	33
eat	32
accompany	32
part	32
call	32
cast	32
form	32
frighten	32
strike	32
accustom	32
retire	31
bless	31
beat	31
descend	31
conduct	31
interpose	31
seat	31
enjoy	31
oblige	30
seize	30
vow	30
suffer	30
sang	30
forgive	30
fetch	29
charm	29
battle	29
delight	29
welcome	29
burst	29
mark	29
bore	29
respect	29
weep	29
dispose	29
quarrel	28
remove	28
reach	28
serve	28
light	28
travel	28
offer	28
hide	27
induce	27
regard	27
rally	27
spare	26
command	26
hand	26
roll	26
thank	26
hate	26
putt	26
mean	26
settle	26
suppose	26
shine	26
render	26
ring	25
admit	25
bow	25
agitate	25
whisper	25
catch	25
affect	25
bend	25
occasion	24
disturb	24
contain	24
encourage	24
amuse	23
desire	23
arrange	23
partake	23
pause	23
confess	23
born	23
possess	23
shut	23
describe	22
cease	22
mind	22
tend	22
owe	22
discover	22
instruct	22
fit	22
learn	22
represent	22
examine	22
advance	21
bound	21
gather	21
teach	21
fix	21
flee	21
interrupt	21
behold	21
wave	20
prove	20
increase	20
prefer	20
incline	20
patronise	20
long	20
prepare	20
arrival	20
stare	20
exhibit	20
address	19
exclaim	19
soothe	19
perceive	19
condescend	19
interview	19
salute	19
calculate	19
lock	19
grin	19
insult	19
entertain	19
beseech	19
trust	18
heart	18
flush	18
retreat	18
open	18
wouldn’t	18
utter	18
select	18
save	18
reconcile	18
hint	18
indulge	18
employ	18
persist	18
astonish	18
abuse	18
trip	18
separate	18
entreat	18
inform	18
smoke	18
compliment	18
succeed	18
pour	18
occur	17
embrace	17
gaze	17
frequent	17
wake	17
roar	17
jump	17
announcement	17
nod	17
raise	17
pack	16
produce	16
sank	16
alarm	16
attack	16
suit	16
plunge	16
rattle	16
recollect	16
secure	16
gasp	16
disappear	16
touch	16
restore	16
communicate	16
belong	16
adore	16
miss	16
cling	16
superintend	15
coax	15
attach	15
blow	15
supply	15
shout	15
convey	15
survey	15
hange	15
adopt	15
speech	15
befall	15
strive	15
paint	15
desert	15
implore	15
charge	14
practise	14
protest	14
mount	14
venture	14
bade	14
defend	14
death	14
administer	14
support	14
borrow	14
gain	14
offend	14
afford	14
procure	14
praise	14
bury	14
step	13
honour	13
proceed	13
depart	13
mourn	13
issue	13
knock	13
toss	13
sprang	13
assume	13
wasn’t	13
allude	13
exchange	13
breed	13
pursue	13
last	13
enter	13
hurt	13
cover	13
dismiss	13
hunt	13
scream	13
acquaint	13
share	13
lend	13
humour	13
cross	13
preside	13
prattle	13
alter	13
withdraw	13
bid	13
grumble	13
awaken	13
consult	13
ornament	13
distinguish	13
repeat	13
relent	13
pity	13
ensue	13
shave	13
recognise	13
neglect	12
dislike	12
puff	12
invent	12
inquire	12
sweep	12
clap	12
favour	12
blaze	12
educate	12
endure	12
ceremony	12
rob	12
comfort	12
escap	12
furnish	12
account	12
cheat	12
tie	12
rest	12
assemble	12
request	11
direct	11
figure	11
pick	11
sacrifice	11
choke	11
flatter	11
action	11
narrate	11
warm	11
despise	11
pretend	11
commence	11
land	11
re-cover	11
relieve	11
peep	11
escape	11
provide	11
brag	11
protect	11
conquer	11
stick	11
sink	11
refresh	11
deplore	11
push	10
carve	10
recognize	10
los	10
deserve	10
whimper	10
head	10
enable	10
summons	10
bounce	10
content	10
joke	10
resist	10
please	10
despatch	10
appoint	10
thrash	10
judge	10
match	10
satisfy	10
shrink	10
bully	10
sneer	10
cost	10
curse	10
steal	10
hurry	10
pardon	10
reign	10
fade	10
observe	10
discuss	10
appear	10
tear	10
worship	10
devote	10
transact	10
thrust	10
consent	10
undergo	10
bleed	10
decline	10
bethink	10
obey	10
congratulate	10
seal	9
bestow	9
spell	9
scold	9
comprehend	9
deliver	9
scowl	9
rang	9
fire	9
nurse	9
consume	9
annoy	9
hit	9
check	9
thrill	9
swallow	9
bet	9
quiver	9
measure	9
squeeze	9
ascend	9
count	9
dwell	9
excite	9
growl	9
accommodate	9
endow	9
resolve	9
impart	9
weigh	9
operation	9
heed	9
“and	9
bloom	9
notice	9
curl	9
manage	9
bustle	9
imagine	9
decorate	9
cheer	9
connect	9
mistake	9
embark	9
improve	9
greet	9
compose	9
behave	9
grieve	9
trot	8
bite	8
faint	8
dream	8
mingle	8
disappoint	8
collect	8
hasten	8
remind	8
execute	8
kneel	8
proposal	8
acquire	8
transaction	8
pant	8
exist	8
wink	8
confide	8
restrain	8
ain’t	8
starve	8
transport	8
inherit	8
dictate	8
struggle	8
twirl	8
stoop	8
perish	8
sound	8
cajole	8
lean	8
elate	8
melt	8
pine	8
surprise	8
brood	8
survive	8
attain	8
wander	8
befriend	8
howl	8
punish	8
pace	8
display	8
rebuke	8
await	8
busy	8
lodge	8
bawl	7
repose	7
rid	7
interest	7
rout	7
deceive	7
isn’t	7
taste	7
defy	7
twinkle	7
relapse	7
interfere	7
breathe	7
crush	7
ejaculate	7
relate	7
clasp	7
fool	7
inspire	7
lurk	7
