OCCURRENCE
Evento_lema	Frecuencia
go	662
come	561
do	356
take	348
make	305
give	296
get	233
speak	216
know	186
find	162
feel	157
sit	156
look	134
turn	130
put	127
love	127
stand	126
left	123
fall	120
bring	107
wish	97
let	96
talk	84
listen	83
leave	83
meet	81
work	81
set	79
pass	78
answer	72
cry	72
rise	71
remember	69
send	68
bear	68
return	66
hold	66
catch	64
wait	60
watch	59
forget	58
shake	57
change	57
used	56
die	56
live	55
lead	54
walk	53
hang	51
lay	51
lose	51
carry	49
care	48
bless	47
grow	46
break	45
understand	45
save	44
write	43
stay	43
strike	42
run	41
throw	40
draw	40
lie	39
prove	38
read	38
sleep	37
kiss	36
bound	36
receive	35
drop	35
hide	34
pay	33
marry	33
round	32
eat	32
wear	31
thank	31
move	31
exclaim	30
comfort	30
cause	29
trial	29
shut	29
rouse	29
murder	29
dread	28
refuse	28
laugh	27
gather	27
follow	27
suffer	26
notice	26
long	26
will	25
speech	25
steal	25
pull	25
call	24
fret	24
offer	24
show	24
rest	24
beg	24
repeat	24
sank	24
tel	24
smile	24
guess	24
act	24
struggle	23
cast	23
cross	23
mean	23
use	23
await	23
learn	23
sink	23
layer	22
cover	22
determine	22
bend	22
spare	22
sail	22
grieve	21
become	21
visit	21
fix	21
imagine	21
mind	20
utter	20
forgive	20
dare	20
kill	20
cut	19
stick	19
whisper	19
arise	19
pick	19
reach	19
getten	19
light	18
settle	18
trust	18
putt	18
sing	18
open	18
drink	17
death	17
place	17
fancy	17
drive	17
lift	17
judge	17
cease	17
dress	16
arrange	16
accompany	16
soothe	16
dwell	16
address	16
fill	16
endure	16
paid	16
mourn	16
resolve	16
sigh	16
gaze	16
interrupt	15
be	15
happen	15
check	15
pour	15
ascertain	15
recognise	15
step	15
force	15
weep	15
form	14
belong	14
spend	14
raise	14
attend	14
convince	14
search	14
action	14
hurt	14
born	14
strive	14
gasp	14
starve	14
waken	14
miss	14
desire	14
lodge	13
abide	13
earn	13
fear	13
bewilder	13
relieve	13
violence	13
buy	13
purchase	13
arrive	13
shoot	13
mistake	13
swear	13
reveal	13
stir	13
close	13
enjoy	12
hurry	12
cheer	12
hasten	12
disturb	12
incline	12
puzzle	12
push	12
examine	12
discover	12
mutter	12
rush	12
tremble	12
choke	12
employ	11
build	11
bore	11
burst	11
nurse	11
none	11
produce	11
possess	11
knock	11
lock	11
wander	11
flash	11
remove	11
engage	11
teach	11
copy	11
pause	11
perceive	11
fetch	11
slip	11
gain	11
breathe	11
obtain	11
clem	11
present	11
haunt	11
bid	11
dream	11
startle	11
excite	11
interview	11
arrest	11
bow	11
increase	10
absorb	10
observe	10
wash	10
share	10
withdraw	10
oblige	10
linger	10
dislike	10
satisfy	10
hearken	10
inquire	10
quiver	10
reckon	10
loathe	10
hesitate	10
convey	10
bade	10
render	10
hange	10
toss	9
experience	9
mark	9
loiter	9
part	9
injure	9
afford	9
require	9
pretend	9
conceal	9
hush	9
blame	9
disappoint	9
murmur	9
fly	9
strengthen	9
sob	9
beat	9
anticipate	9
drag	8
occasion	8
shine	8
trouble	8
flush	8
blush	8
bed	8
lend	8
proceed	8
apply	8
occupy	8
kneel	8
guide	8
submit	8
admit	8
borrow	8
secure	8
shade	8
doubt	8
last	8
weigh	8
wipe	8
shiver	8
donnot	8
detain	8
oppress	8
express	8
implore	8
yield	8
please	8
irritate	8
quit	8
recall	8
separate	8
compress	7
seize	7
blow	7
enter	7
wench	7
rock	7
scold	7
amuse	7
brighten	7
sprang	7
hoist	7
perform	7
ponder	7
grumble	7
boil	7
fit	7
sound	7
sicken	7
owe	7
alter	7
entertain	7
tire	7
clear	7
shout	7
encourage	7
heed	7
curse	7
deaden	7
penetrate	7
appoint	7
moan	7
frighten	7
hate	7
contain	7
mingle	7
surround	7
indulge	7
induce	7
ache	7
win	7
vex	7
fold	7
treat	7
regard	7
inform	7
acquaint	6
bustle	6
tempt	6
flutter	6
dim	6
drown	6
snatch	6
bestow	6
dance	6
accustom	6
cook	6
reproach	6
remind	6
depart	6
sell	6
roll	6
swallow	6
depend	6
coax	6
rub	6
burn	6
succeed	6
fed	6
tie	6
serve	6
attract	6
escap	6
crush	6
admire	6
welcome	6
assume	6
escape	6
accomplish	6
overtake	6
appear	6
tear	6
consult	6
flow	6
exhaust	6
ride	6
grind	6
conversation	6
play	6
trip	6
beckon	6
deserve	6
upbraid	6
imply	6
command	6
repent	6
decision	6
echo	6
heart	6
collect	6
pity	6
prepare	6
bully	6
axe	6
conjecture	6
question	6
labour	6
bethink	5
endeavour	5
lower	5
describe	5
crowd	5
vary	5
darken	5
wind	5
