STATE
Evento_lema	Frecuencia
have	197
be	38
feel	28
remain	27
own	12
los	8
glad	8
fair	7
live	6
mix	6
capable	6
hold	6
good	5
necessary	4
better	4
maintain	4
useful	4
serve	4
cost	3
doubtful	3
thankful	3
greater	3
insensible	2
full	2
value	2
sure	2
affect	2
enjoy	2
has	1
perceptible	1
agreeable	1
seriou	1
consistent	1
weak	1
near	1
intimate	1
ashame	1
result	1
happy	1
plague	1
deep	1
powerles	1
poor	1
content	1
troublesome	1
foolish	1
relate	1
dangerou	1
filthy	1
sorry	1
equal	1
little	1
conviction	1
control	1
heedles	1
prolong	1
cruel	1
out	1
loath	1
treacherou	1
smart	1
intensity	1
useles	1
further	1
