OCCURRENCE
Evento_lema	Frecuencia
make	517
do	463
take	445
go	389
come	388
give	349
get	331
find	274
turn	208
let	178
feel	177
bring	172
left	159
look	152
return	145
speak	143
know	139
pass	135
wish	119
send	119
set	116
walk	109
remember	104
answer	103
reach	103
lead	102
talk	101
exclaim	101
sit	101
stand	100
receive	97
put	95
cry	94
leave	93
work	92
follow	89
visit	88
run	84
draw	79
love	77
hold	76
meet	76
wait	76
lose	71
utter	70
understand	70
place	68
listen	67
bear	67
die	66
change	65
fall	65
rise	64
forget	63
show	62
fix	62
raise	59
happen	59
throw	59
live	58
perceive	57
read	56
learn	56
shake	55
watch	54
pay	53
carry	50
move	50
thank	49
address	47
close	46
determine	45
produce	44
layer	44
inquire	43
venture	43
perform	42
drive	41
save	41
catch	40
enjoy	40
obey	40
stay	40
fancy	40
grow	40
render	39
cause	39
laugh	39
seize	39
suffer	38
act	37
call	37
employ	37
round	36
used	35
write	35
proceed	35
desire	35
trust	34
sleep	34
mean	34
prove	34
lay	33
tremble	33
enable	32
mind	32
paid	32
settle	32
gaze	32
whisper	32
putt	32
observe	32
cease	31
smile	31
teach	31
bless	30
attend	30
eat	30
form	29
drop	29
repeat	29
occupy	29
rest	28
guess	28
remove	28
conceive	27
wear	27
care	27
lie	27
seat	27
open	27
please	26
dress	25
respect	25
stretch	25
break	25
use	24
depend	24
undertake	24
become	24
sink	24
present	23
arise	23
mistake	23
contrive	23
refuse	23
endeavour	23
arrive	23
drag	22
discover	22
push	22
breathe	22
heart	22
comfort	21
accompany	21
support	21
sustain	21
death	21
suffice	20
flow	20
hang	20
succeed	20
born	20
weep	20
trouble	20
treat	20
indulge	19
share	19
kiss	19
increase	19
bestow	19
bid	19
shut	19
beg	19
bury	19
witness	19
withdraw	19
engage	18
pause	18
deal	18
endure	18
bend	18
relieve	18
enter	18
confess	18
nod	18
judge	18
manage	18
travel	18
appear	18
struggle	17
gain	17
ascertain	17
fill	17
meditate	17
encounter	17
oblige	17
apply	17
obtain	17
awaken	17
provide	16
strike	16
check	16
exchange	16
join	16
escap	16
recover	16
bow	16
bound	16
await	16
rejoice	16
possess	16
mention	15
dare	15
shrink	15
satisfy	15
deserve	15
convey	15
puzzle	15
los	15
recognise	15
occasion	15
contemplate	15
startle	15
depart	15
last	14
speech	14
hurry	14
murmur	14
hide	14
dream	14
behave	14
adopt	14
wring	14
stare	14
question	14
examine	14
rush	14
rouse	14
content	14
clasp	14
require	14
retire	14
shudder	14
comprehend	14
sign	14
pursue	13
delight	13
rejoin	13
restore	13
command	13
expose	13
proposal	13
introduce	13
suppose	13
part	13
induce	13
afford	13
play	13
creep	13
hate	13
supply	13
thrust	13
escape	13
conceal	13
serve	12
exist	12
fit	12
study	12
marry	12
hasten	12
step	12
incline	12
disturb	12
bore	12
pull	12
re-cover	12
deceive	12
belong	12
cheer	12
contain	12
excite	12
cross	12
occur	12
spend	12
strap	12
behold	12
submit	12
retain	12
labour	12
apprentice	12
trace	11
hint	11
ceremony	11
mutter	11
conviction	11
select	11
furnish	11
yield	11
quit	11
ejaculate	11
honour	11
convince	11
advance	11
dispose	11
cram	11
except	11
forbid	11
have	11
hit	11
interrupt	11
advise	11
inspire	11
forgive	11
ride	10
tempt	10
count	10
profit	10
extend	10
communicate	10
mark	10
suit	10
scream	10
wander	10
clothe	10
exhibit	10
recollect	10
bet	10
departure	10
hurt	10
interview	10
starve	10
cover	10
gather	10
descend	10
lift	10
consult	10
spread	10
prepare	10
consent	10
direct	10
slip	10
deliver	10
ring	10
miss	10
wake	10
overtake	10
chance	10
divide	9
acquaint	9
assemble	9
buy	9
knock	9
improve	9
force	9
destroy	9
exert	9
hand	9
traverse	9
fly	9
soften	9
arrest	9
conquer	9
operation	9
relax	9
procure	9
forsake	9
search	9
owe	9
disappoint	9
execute	9
vex	9
precede	9
secure	9
calculate	9
swallow	9
deem	9
admit	8
discuss	8
converse	8
distinguish	8
scruple	8
stride	8
displease	8
cut	8
shoot	8
reward	8
earn	8
resist	8
encourage	8
long	8
befall	8
relate	8
sell	8
dwell	8
stir	8
reconnoitre	8
display	8
battle	8
crawl	8
cast	8
clap	8
colour	8
arrange	8
decide	8
build	8
mount	8
doom	8
lessen	8
tend	8
conversation	8
beat	8
cripple	8
snatch	8
describe	8
exceed	8
avail	8
surround	8
burst	8
mourn	8
violence	7
persist	7
declare	7
devote	7
remark	7
consist	7
pick	7
dart	7
offer	7
taste	7
entreat	7
pack	7
lend	7
affect	7
peep	7
touch	7
fed	7
enforce	7
blame	7
testify	7
respond	7
win	7
anticipate	7
rang	7
mend	7
wash	7
doubt	7
detain	7
compose	7
enclose	7
explain	7
endow	7
amuse	7
condescend	7
wipe	7
arrival	7
fear	7
reply	7
torment	7
rescue	7
resolve	7
retreat	7
discussion	7
dread	7
lock	7
release	7
express	7
betray	7
pity	7
concern	7
roll	7
pace	7
imagine	7
spare	7
linger	7
kill	7
rear	7
preserve	7
deplore	6
connect	6
inform	6
welcome	6
spoil	6
crush	6
separate	6
prefer	6
lodge	6
acquire	6
jest	6
resolution	6
conduct	6
assign	6
climb	6
hear	6
roar	6
gratify	6
abide	6
assume	6
awake	6
wink	6
bide	6
sound	6
sing	6
pretend	6
clean	6
march	6
convert	6
derive	6
blush	6
boast	6
impress	6
nestle	6
sprung	6
lean	6
refresh	6
charge	6
greet	6
action	6
trudge	6
assistance	6
excuse	6
alarm	6
kneel	6
plunge	6
atone	6
waste	6
redeem	6
represent	6
agitate	6
undergo	5
admire	5
object	5
educate	5
stifle	5
reiterate	5
protect	5
sprang	5
ensue	5
spring	5
clamber	5
haunt	5
curse	5
choke	5
appeal	5
retort	5
sigh	5
meddle	5
injure	5
scold	5
confound	5
favour	5
drink	5
frighten	5
offend	5
reproach	5
perish	5
smell	5
cherish	5
terrify	5
gasp	5
reduce	5
conjure	5
comply	5
plague	5
chase	5
preach	5
appoint	5
station	5
loiter	5
issue	5
development	5
recount	5
dismiss	5
request	5
hange	5
notice	5
interfere	5
name	5
shelter	5
disappear	5
exhaust	5
summons	5
accustom	5
demand	5
purchase	5
amount	5
justify	5
strive	5
involve	5
recall	5
face	5
toil	4
vie	4
value	4
dote	4
pant	4
marshal	4
defy	4
lower	4
flatter	4
appreciate	4
borrow	4
adorn	4
heed	4
vociferate	4
stamp	4
wrapped	4
whistle	4
accelerate	4
trot	4
renew	4
trample	4
inhabit	4
sank	4
pat	4
echo	4
chill	4
foot	4
scatter	4
clench	4
fold	4
restrain	4
mock	4
account	4
abuse	4
burden	4
piece	4
fret	4
stroll	4
ensconce	4
fetch	4
steal	4
retrace	4
despatch	4
transaction	4
scour	4
vanish	4
affront	4
deform	4
harden	4
bolt	4
dine	4
repair	4
devour	4
rely	4
aid	4
penetrate	4
proclaim	4
wither	4
beguile	4
attack	4
grin	4
collect	4
sketch	4
sicken	4
nurse	4
contradict	4
repose	4
grant	4
sew	4
argue	4
allot	4
calm	4
occupation	4
ache	4
overhear	4
quarrel	4
book	4
pale	4
murder	4
persevere	4
swell	4
replace	4
articulate	4
bed	4
kick	4
provoke	4
blow	4
benefit	4
combat	4
devise	4
confer	4
impose	4
regulate	4
peruse	4
dip	4
shed	4
strengthen	4
swear	4
bother	4
jog	4
blast	4
soothe	4
tear	4
kidnap	4
knit	4
weary	4
adhere	4
elapse	4
drown	4
journey	4
alter	4
exclude	4
practise	4
reclaim	4
survive	4
settlement	4
subject	3
assert	3
remedy	3
ripen	3
shine	3
blunder	3
elicit	3
insinuate	3
entertain	3
reek	3
fare	3
back	3
celebrate	3
resemble	3
encircle	3
accomplish	3
ward	3
match	3
inscribe	3
recite	3
wheel	3
feed	3
cure	3
pervade	3
mantle	3
light	3
consign	3
shout	3
bustle	3
crowd	3
thieve	3
measure	3
inflict	3
burn	3
mingle	3
invent	3
deign	3
accumulate	3
re-sort	3
tumble	3
head	3
uncover	3
dispute	3
approval	3
joke	3
manifest	3
eyee	3
allude	3
appropriate	3
size	3
titter	3
adore	3
interrogate	3
pinch	3
bespeak	3
squeeze	3
compare	3
attach	3
impel	3
blubber	3
term	3
convulse	3
reside	3
detect	3
obscure	3
envy	3
re-serve	3
totter	3
construct	3
mix	3
banish	3
impede	3
bade	3
blend	3
gallop	3
pile	3
nobody	3
better	3
embrace	3
deprecate	3
lurk	3
ensure	3
fight	3
dislike	3
spell	3
group	3
instruct	3
falter	3
sweep	3
denominate	3
dictate	3
wound	3
lain	3
attract	3
disobey	3
scorn	3
spy	3
equal	3
empty	3
quarter	3
reseat	3
pocket	3
confine	3
trifle	3
harass	3
envelop	3
add	3
stick	3
oppress	3
overwhelm	3
master	3
screw	3
strew	3
twist	3
jolt	3
pine	3
degrade	3
seal	3
neglect	3
intrust	3
founder	3
misdoubt	3
poison	3
clear	3
paint	3
weigh	3
prevail	3
reveal	3
result	3
groan	3
heal	3
sale	3
loss	3
hazard	3
cling	3
pain	3
resign	3
sob	3
repay	3
bleed	3
oppose	3
hobble	3
smooth	3
heave	3
coax	3
summon	3
strip	3
throb	3
revolve	3
grasp	3
accommodate	3
petition	3
beam	3
beautify	3
stain	2
promote	2
overlook	2
growth	2
parade	2
despise	2
relish	2
objection	2
stew	2
faint	2
smelt	2
glow	2
prelude	2
pique	2
tip	2
pride	2
double	2
waddle	2
enlarge	2
trim	2
border	2
skirt	2
hug	2
undo	2
irritate	2
yelp	2
flourish	2
amble	2
melt	2
achieve	2
flirt	2
designate	2
embroider	2
bequeath	2
misunderstand	2
animate	2
exercise	2
captivate	2
twinkle	2
glance	2
forestall	2
sup	2
side	2
stalk	2
punish	2
chuckle	2
corrupt	2
attain	2
rattle	2
dance	2
fee	2
deposit	2
swing	2
whip	2
slap	2
extract	2
com	2
cook	2
eye	2
befriend	2
scratch	2
announcement	2
reign	2
chuck	2
sneer	2
load	2
dye	2
discourse	2
purify	2
create	2
toe	2
reflect	2
resound	2
recur	2
publish	2
perch	2
encumber	2
dramatize	2
consume	2
immortalize	2
wind	2
race	2
jump	2
shuffle	2
rein	2
approach	2
whirr	2
sprawl	2
repas	2
salute	2
veil	2
worship	2
privilege	2
hire	2
annoy	2
assist	2
bandy	2
condemn	2
violate	2
substitute	2
toss	2
plant	2
print	2
subside	2
exaggerate	2
deafen	2
like	2
class	2
yawn	2
loathe	2
sacrifice	2
hinder	2
multiply	2
cost	2
clamour	2
suck	2
spin	2
dig	2
clutch	2
equip	2
consequence	2
crouch	2
ail	2
smash	2
lame	2
interest	2
rob	2
cower	2
vest	2
nurture	2
cushion	2
flit	2
stream	2
demonstration	2
contribute	2
gossip	2
reason	2
rid	2
ferret	2
'prentice	2
pronounce	2
commission	2
weave	2
heighten	2
disposal	2
beget	2
obtrude	2
destine	2
prate	2
poke	2
contract	2
vary	2
bruise	2
courtesy	2
surprise	2
shun	2
disbelieve	2
speculate	2
tie	2
trip	2
fence	2
implore	2
perpetrate	2
untie	2
hem	2
hesitate	2
brave	2
matter	2
nourish	2
moan	2
invest	2
list	2
hover	2
replenish	2
throng	2
disapprove	2
fast	2
tranquillize	2
decision	2
somethe	2
kindle	2
brace	2
hatch	2
bawl	2
amass	2
beset	2
recoil	2
arouse	2
abolish	2
subdue	2
goad	2
deteriorate	2
dwindle	2
point	2
narrate	2
realize	2
shew	2
languish	2
challenge	2
removal	2
staid	2
detail	2
petrify	2
paralyze	2
redress	2
none	2
revive	2
institute	2
breakfast	2
shorten	2
fasten	2
pursuit	2
payment	2
sparkle	2
pen	2
scrape	2
bewilder	2
scare	2
administer	2
rank	2
scramble	2
repent	2
enjoin	2
grind	2
permit	2
generate	2
torture	2
verify	2
inclination	2
second	2
recruit	2
protrude	2
console	2
discovery	2
seed	2
suggestion	2
sally	2
invite	2
transport	2
avow	2
disclosure	2
prescribe	2
scribble	2
bamboozle	2
bribe	2
difficulty	2
determined	1
embark	1
neutralize	1
unite	1
sully	1
ameliorate	1
transact	1
state	1
enlighten	1
wield	1
chatter	1
diversify	1
outshine	1
detest	1
boot	1
furbelow	1
sputter	1
smother	1
pin	1
cool	1
imbed	1
somebody	1
frolic	1
suffocate	1
advantage	1
tread	1
overturn	1
resistance	1
pelt	1
adjust	1
peck	1
doat	1
assent	1
unlock	1
sort	1
mimic	1
recreate	1
irrigate	1
relief	1
experience	1
enshrine	1
front	1
fate	1
outspend	1
be	1
entrap	1
gall	1
shoe	1
scorch	1
situate	1
school	1
rebel	1
feast	1
batten	1
countenance	1
daunt	1
limp	1
thwart	1
misuse	1
suspect	1
smirk	1
gallant	1
shrug	1
'take	1
'and	1
dirty	1
'feard	1
appointment	1
muster	1
presume	1
elate	1
entail	1
sham	1
warn	1
caper	1
ar	1
handle	1
indict	1
turnpike	1
absorb	1
compound	1
float	1
growl	1
trap	1
fling	1
sharpen	1
stint	1
feature	1
fire	1
boil	1
maintain	1
persecute	1
glad	1
fellow	1
mother	1
misrepresent	1
incident	1
escort	1
beggar	1
prosecute	1
jeer	1
tassel	1
forge	1
nail	1
abash	1
thread	1
compete	1
