OCCURRENCE
Evento_lema	Frecuencia
do	381
make	317
give	311
go	283
feel	251
come	232
take	222
know	200
love	199
return	176
find	174
wish	155
bring	142
left	123
speak	119
look	115
bear	111
answer	106
cause	102
pass	102
receive	95
leave	93
forget	92
increase	88
write	81
throw	81
change	78
save	77
read	77
let	74
get	68
remove	67
exclaim	67
imagine	66
talk	65
join	65
remember	63
put	62
turn	62
conquer	61
listen	59
desire	58
sit	58
fall	57
send	57
understand	56
become	54
fancy	54
visit	54
succeed	52
suffer	51
refuse	51
play	50
discover	50
stand	49
round	49
laugh	47
rise	47
shrink	47
act	47
satisfy	46
betray	46
lead	45
endure	44
kiss	43
forgive	43
lose	43
conceal	42
move	42
prove	42
hide	42
wait	41
inquire	41
draw	41
work	40
trust	40
excite	39
break	39
smile	38
render	38
spare	38
trial	38
watch	37
confess	37
address	36
check	36
teach	36
obey	36
meet	35
layer	35
place	34
accompany	34
oblige	34
occasion	34
thank	34
care	34
enjoy	33
learn	33
run	32
win	32
deserve	30
raise	30
repeat	30
arrive	30
long	30
sink	30
perceive	30
bless	29
startle	29
admire	28
enable	28
dare	28
resolve	28
proceed	27
evince	27
reach	27
determine	27
follow	27
cling	27
shake	26
lay	26
walk	26
cease	26
beg	25
rest	25
rouse	25
call	25
grieve	25
departure	25
rejoin	25
treat	24
produce	24
banish	24
enter	24
used	24
dance	24
form	23
soothe	23
encourage	23
clasp	23
use	23
retain	23
cry	22
mean	22
fix	22
relieve	22
expose	22
hesitate	21
guide	21
struggle	21
entreat	21
engross	21
condemn	21
display	21
tremble	21
grow	21
sleep	21
close	21
notice	20
fling	20
punish	20
recall	20
stay	20
spend	20
quit	20
burst	20
fill	20
engage	20
resist	20
set	20
observe	20
grant	20
drive	19
hold	19
alter	19
rejoice	19
ride	19
indulge	19
mention	19
attend	19
bury	19
spring	18
behold	18
guess	18
accustom	18
fear	18
encounter	18
prevail	18
delight	18
introduce	18
present	18
reproach	18
inflict	18
die	17
interrupt	17
require	17
happen	17
sing	17
neglect	17
gain	17
implore	17
connect	17
request	17
displease	17
strike	17
strengthen	16
regard	16
convince	16
live	16
gaze	16
show	16
escap	16
comfort	16
bore	16
kneel	16
disappoint	16
impress	15
bend	15
reply	15
carry	15
conviction	15
prepare	15
create	15
rush	15
apply	15
conversation	15
realize	15
trace	15
touch	15
hate	15
exhaust	15
desert	14
utter	14
study	14
murmur	14
calm	14
impart	14
last	14
adopt	14
accomplish	14
pour	14
beseech	14
bewilder	14
amuse	14
pause	14
subdue	14
linger	13
catch	13
devote	13
employ	13
frighten	13
wear	13
re-cover	13
overpower	13
cross	13
astonish	13
dislike	13
incline	13
retire	13
persist	13
grasp	13
breathe	13
define	13
chance	13
refer	13
perform	12
tempt	12
dart	12
obtain	12
atone	12
los	12
hurt	12
experience	12
instill	12
deepen	12
torment	12
compel	12
disturb	12
judge	12
deceive	12
disobey	12
weep	12
distinguish	12
ring	12
interpose	12
endeavor	12
reveal	12
summons	12
dispose	12
mistake	12
anticipate	12
mingle	11
irritate	11
interfere	11
engender	11
seat	11
bound	11
dismiss	11
add	11
repay	11
endeavore	11
shudder	11
detain	11
sob	11
lie	11
whisper	11
explain	11
pursue	11
bestow	11
conduct	11
please	11
share	11
annoy	11
preserve	11
cast	11
soften	11
part	11
sound	11
restore	11
associate	11
redeem	11
occupy	11
flash	11
lean	11
advise	11
pay	11
practice	10
appear	10
demand	10
cover	10
commence	10
nurse	10
contain	10
hasten	10
attract	10
restrain	10
terrify	10
miss	10
select	10
fit	10
depart	10
open	10
interview	10
lessen	10
dress	10
arise	10
possess	10
allude	10
greet	10
advance	10
burn	10
confide	10
sacrifice	10
suppose	10
discharge	10
attach	9
choke	9
subside	9
dread	9
awake	9
venture	9
examine	9
sprung	9
agitate	9
caress	9
deal	9
speech	9
fly	9
lavish	9
injure	9
surprise	9
withdraw	9
arrange	9
express	9
depend	9
improve	9
appropriate	9
destroy	9
disperse	9
fulfill	8
scatter	8
content	8
heart	8
shield	8
embrace	8
putt	8
procure	8
tend	8
awaken	8
mind	8
avow	8
gratify	8
yield	8
prefer	8
correct	8
be	8
tire	8
silence	8
disappear	8
lift	8
direct	8
extend	8
envy	8
heighten	8
alarm	8
wound	8
lend	8
slip	8
replace	8
deaden	8
incur	8
reward	8
escape	8
perplex	8
exchange	8
entertain	8
offer	8
shine	7
mark	7
sparkle	7
recognize	7
denote	7
remark	7
serve	7
affect	7
welcome	7
separate	7
converse	7
consequence	7
dwell	7
resign	7
pain	7
comprehend	7
unite	7
offend	7
seize	7
vow	7
near	7
madden	7
temper	7
unclose	7
throb	7
owe	7
undertake	7
reprove	7
refrain	7
appeal	7
rally	7
excuse	7
pity	7
inform	7
provoke	7
tease	7
assemble	7
elapse	7
cut	7
cheer	7
flush	7
quiver	7
strive	7
illustrate	6
provide	6
float	6
dash	6
condescend	6
commit	6
sail	6
dream	6
wake	6
kill	6
exercise	6
arrival	6
spoil	6
recover	6
rivet	6
conjure	6
search	6
force	6
trifle	6
sympathize	6
resolution	6
decrease	6
vent	6
heed	6
resemble	6
acquaint	6
contrast	6
crush	6
flow	6
consent	6
command	6
relax	6
protect	6
convey	6
declare	6
induce	6
ache	6
exist	6
fatigue	6
regret	6
cultivate	6
afford	6
confine	6
gather	6
collect	6
blame	6
rang	6
throng	6
charm	6
disgrace	6
recommence	6
scold	6
blast	6
belong	5
aid	5
acquire	5
emerge	5
suffice	5
hang	5
dictate	5
will	5
decision	5
curse	5
traverse	5
forbear	5
re-serve	5
justify	5
