OCCURRENCE
Evento_lema	Frecuencia
take	230
go	226
come	181
left	167
make	150
look	149
speak	143
write	133
do	119
find	114
answer	107
wait	99
give	97
leave	96
return	95
turn	89
pass	87
meet	77
feel	77
get	75
know	62
let	61
put	60
discover	57
rise	53
change	53
stand	52
bring	50
lead	50
lose	50
love	50
follow	47
receive	46
read	42
draw	42
set	41
show	41
remember	41
walk	40
marry	39
close	38
forget	37
rest	37
reach	37
hold	36
live	35
lay	35
fall	34
don’t	33
sit	32
happen	32
send	31
lift	30
part	30
cry	30
move	29
talk	27
repeat	26
place	26
trust	26
beg	24
notice	24
understand	24
advance	24
wish	24
strike	23
break	23
whisper	23
run	23
travele	23
visit	22
raise	22
suffer	22
address	22
round	22
produce	22
layer	22
sink	22
hide	21
cross	21
refuse	20
kiss	20
sleep	20
watch	20
drop	20
present	19
inquire	19
communicate	19
dream	19
save	19
carry	18
possess	18
fill	18
throw	18
wear	18
thank	17
reveal	17
hesitate	17
determine	17
satisfy	16
rouse	16
used	16
occupy	16
drive	16
shake	16
mean	16
tremble	16
open	16
become	15
accompany	15
force	15
resolution	15
pause	15
vanish	15
lie	15
offer	15
die	15
recognize	15
venture	15
exclaim	15
frighten	15
arrive	14
departure	14
sail	14
disappear	14
catch	14
remind	14
use	13
persist	13
burst	13
forgive	13
confess	13
trouble	13
fix	13
destroy	12
laugh	12
disappoint	12
recall	12
act	12
wake	12
los	12
startle	12
amuse	12
count	12
proceed	12
bear	12
trace	12
bound	12
drown	12
deceive	12
listen	12
desert	12
relieve	11
increase	11
accustom	11
suppose	11
bid	11
bend	11
pursue	11
grow	11
mistake	11
oblige	11
can’t	11
seize	11
re-cover	11
fade	11
excuse	11
treat	10
preserve	10
float	10
form	10
decide	10
fly	10
unite	10
check	10
succeed	10
guess	10
play	10
conceal	10
disturb	10
rejoin	10
pay	9
dine	9
work	9
admit	9
entreat	9
death	9
prove	9
hang	9
recover	9
add	9
cease	9
resolve	9
flow	9
seat	9
surprise	9
inform	9
brighten	9
compose	9
ring	9
acquaint	8
introduce	8
endure	8
describe	8
discovery	8
alter	8
proposal	8
observe	8
encourage	8
dismiss	8
bow	8
interpose	8
spare	8
refer	8
mention	8
restore	8
escap	8
shine	8
arrange	8
beckon	8
last	8
oppress	8
cause	8
shudder	7
consent	7
request	7
deserve	7
associate	7
serve	7
won’t	7
develop	7
obey	7
search	7
consult	7
smile	7
sign	7
care	7
quicken	7
submit	7
rang	7
linger	7
employ	7
respect	7
shrink	7
undertake	7
absorb	7
action	7
glide	7
occur	7
hurry	7
revive	7
mind	7
irritate	7
touch	7
stay	7
murmur	7
allude	7
interview	7
wander	7
interest	6
inclose	6
invite	6
fancy	6
revert	6
explain	6
remark	6
command	6
stir	6
kneel	6
win	6
inherit	6
incline	6
please	6
bless	6
yield	6
enter	6
conviction	6
gain	6
rescue	6
leap	6
drift	6
elapse	6
account	6
distress	6
lock	6
separate	6
contain	6
stare	6
induce	6
conversation	6
light	6
shut	6
guide	6
risk	5
retire	5
judge	5
represent	5
join	5
lure	5
step	5
remove	5
appear	5
influence	5
perform	5
hand	5
consecrate	5
implore	5
offend	5
teach	5
waste	5
release	5
stretch	5
struggle	5
hate	5
escape	5
attend	5
comfort	5
devote	5
adopt	5
contemplate	5
behold	5
sacrifice	5
justify	5
connect	5
resent	5
hover	5
doubt	5
utter	5
express	5
interpret	5
destine	5
awake	5
travel	5
lean	5
prefer	5
commit	5
engage	5
question	5
purchase	5
blame	5
puzzle	5
descend	5
confide	5
wind	5
provide	4
imply	4
ceremony	4
call	4
glance	4
inflict	4
cast	4
resist	4
unlock	4
anticipate	4
build	4
deal	4
defy	4
desire	4
paid	4
settle	4
astonish	4
matter	4
fulfill	4
creep	4
sigh	4
jump	4
snatch	4
embroider	4
pour	4
prosper	4
darken	4
melt	4
inspire	4
fasten	4
enjoy	4
attach	4
appoint	4
sustain	4
support	4
owe	4
entertain	4
console	4
learn	4
buy	4
