OCCURRENCE
Evento_lema	Frecuencia
go	116
come	115
do	105
make	85
give	74
get	68
take	54
find	44
know	40
work	36
look	32
live	31
turn	30
speak	27
set	26
teach	25
let	23
feel	23
pass	22
love	22
stand	19
hold	18
answer	18
cry	17
preach	17
save	17
left	17
bring	17
used	17
put	16
leave	14
raise	14
laugh	13
remember	13
send	13
talk	12
fall	12
understand	12
change	12
break	12
draw	12
strike	12
learn	11
grow	11
sit	11
lose	11
suffer	11
care	10
read	10
follow	10
carry	10
smile	10
refuse	9
show	9
die	9
shake	9
lead	9
rise	9
forget	9
happen	8
forgive	8
lift	8
repeat	8
realise	8
prove	8
meet	8
sacrifice	8
lay	8
round	8
fight	8
judge	7
gather	7
treat	7
move	7
layer	7
receive	7
pick	7
call	6
join	6
starve	6
drive	6
wait	6
marry	6
offer	6
touch	6
dress	6
deal	6
bear	6
cast	6
run	6
visit	6
lodge	6
place	6
trust	6
lie	6
return	6
notice	5
question	5
mean	5
share	5
beat	5
handle	5
destroy	5
search	5
attend	5
accustom	5
drink	5
sink	5
sell	5
write	4
spend	4
wish	4
command	4
obey	4
play	4
denounce	4
confess	4
eat	4
trial	4
admit	4
exist	4
buy	4
rest	4
walk	4
catch	4
succeed	4
bound	4
fling	4
hang	4
cleanse	4
kick	4
throw	4
back	4
use	4
convince	4
wander	4
interest	4
knock	4
lock	4
owe	4
clean	4
swear	4
gain	4
impose	4
attack	4
cover	4
pour	4
stay	3
advise	3
deserve	3
force	3
imitate	3
grant	3
inspire	3
upset	3
pull	3
struggle	3
act	3
fill	3
fit	3
consort	3
bend	3
strip	3
spurn	3
become	3
mind	3
justify	3
praise	3
torture	3
stretch	3
stir	3
kill	3
paid	3
reconcile	3
advance	3
clad	3
bid	3
free	3
recognise	3
curse	3
proclaim	3
fancy	3
practise	3
cease	3
heart	3
stifle	3
support	3
beset	3
fasten	3
punish	3
apply	3
induce	3
resolve	3
bless	3
possess	3
harbour	3
feed	3
oblige	3
last	3
endorse	3
relieve	3
belong	3
form	3
regard	3
shriek	3
develop	3
march	3
count	3
close	3
trail	3
flush	3
insult	3
shout	3
shoot	3
pretend	2
challenge	2
born	2
offend	2
putt	2
encourage	2
interrupt	2
mark	2
dare	2
wrought	2
bide	2
subdue	2
reach	2
scout	2
maintain	2
strengthen	2
enable	2
redeem	2
chill	2
kneel	2
tremble	2
plane	2
sin	2
perplex	2
afflict	2
ripen	2
founder	2
relinquish	2
serve	2
borrow	2
“the	2
till	2
church	2
misjudge	2
mock	2
lighten	2
fly	2
protect	2
discharge	2
rank	2
associate	2
ride	2
overpower	2
interfere	2
wind	2
argue	2
los	2
resist	2
submit	2
hide	2
terrify	2
contradict	2
add	2
occupation	2
bleed	2
arise	2
oppress	2
reject	2
vilify	2
revive	2
secure	2
whine	2
heal	2
comfort	2
charm	2
delight	2
master	2
enter	2
focus	2
root	2
damn	2
discern	2
neglect	2
revolution	2
imagine	2
content	2
cut	2
obscure	2
suit	2
cling	2
worship	2
part	2
disdain	2
degrade	2
desire	2
perish	2
square	2
beware	2
slip	2
differ	2
mention	2
attach	2
swim	2
behave	2
clothe	2
plant	2
afford	2
resent	2
shut	2
rob	2
nurse	2
wash	2
settle	2
misunderstand	2
shoulder	2
abound	2
thrust	2
remonstrate	2
ridicule	2
respect	2
sob	2
cause	2
earn	2
aid	2
revenge	2
plunge	2
listen	2
shrank	2
countenance	2
pardon	2
consent	2
weaken	2
corrupt	2
reward	2
be	2
flow	2
relax	2
represent	2
throng	2
vindicate	2
defend	2
silence	2
utilise	2
