STATE
Evento_lema	Frecuencia
have	159
be	25
feel	17
remain	8
live	7
glad	7
hold	6
good	5
own	4
due	4
responsible	4
capable	3
wait	3
war	3
rude	2
inevitable	2
dead	2
full	2
fair	2
wrong	2
better	2
mix	2
curiou	2
beautiful	2
los	2
control	2
necessary	2
happy	2
prosperou	1
windy	1
belong	1
tangible	1
quick	1
splendid	1
stationary	1
interest	1
trouble	1
content	1
result	1
low	1
fond	1
round	1
empty	1
greater	1
silent	1
sentimental	1
unconsciou	1
halfway	1
funny	1
hard	1
lower	1
great	1
bitter	1
ramshackly	1
seriou	1
ill	1
trap	1
wiser	1
equal	1
bad	1
earnest	1
mad	1
our	1
bare	1
frank	1
intensity	1
mysteriou	1
rotten	1
independent	1
