OCCURRENCE
Evento_lema	Frecuencia
do	197
go	193
take	178
come	162
make	153
get	118
find	90
know	77
look	68
give	68
cry	62
feel	53
put	49
let	48
left	43
stand	42
bring	39
happen	39
turn	39
break	37
return	35
remember	35
read	34
run	33
play	32
shut	31
sit	29
lose	29
mean	28
write	27
talk	27
catch	26
shake	26
leave	26
wish	25
show	25
fall	25
lie	25
pass	24
hold	23
listen	23
follow	23
set	22
meet	22
speak	21
walk	21
strike	21
understand	20
hide	20
send	20
forget	20
wait	19
shoot	19
stay	18
sleep	18
lead	17
draw	17
wake	16
remark	16
drive	16
trust	16
swear	16
explain	16
inquire	15
smile	15
fill	15
spend	15
lay	15
carry	15
miss	14
throw	14
refuse	14
bear	14
fire	14
fly	13
dream	13
live	13
remind	13
cut	13
pick	13
prove	13
arrest	13
change	12
use	12
close	12
rise	12
exclaim	12
watch	12
lock	12
smoke	11
sail	11
learn	11
wear	11
putt	11
drop	11
admit	11
sound	11
save	11
whisper	11
pause	10
tremble	10
ring	10
mind	10
hang	10
determine	10
answer	10
realise	10
care	10
jump	10
produce	9
receive	9
call	9
place	9
stick	9
stare	9
work	9
open	9
eat	9
layer	9
pour	9
shudder	8
prefer	8
escap	8
decide	8
sprang	8
recognise	8
rejoin	8
used	8
guess	8
gather	8
lit	8
forgive	8
pull	8
murmur	8
interview	8
kill	8
reach	8
mention	8
deserve	7
spoil	7
attack	7
relieve	7
hurt	7
deal	7
blow	7
lean	7
succeed	7
gasp	7
breathe	7
battle	7
beg	7
pant	6
discover	6
arrive	6
discuss	6
thrust	6
form	6
hesitate	6
move	6
address	6
alter	6
thank	6
suppose	6
gain	6
bound	6
fling	6
enjoy	6
be	6
slip	6
hate	6
fetch	6
develop	6
seize	6
shave	6
remove	6
fight	6
raise	6
repeat	6
impress	6
disappear	6
murder	6
mutter	6
conceal	5
cast	5
snap	5
paid	5
picture	5
wipe	5
proceed	5
cause	5
sell	5
cross	5
gaze	5
load	5
justify	5
resent	5
encourage	5
release	5
accompany	5
drink	5
hurry	5
encounter	5
none	5
notice	5
imagine	5
recall	5
fix	5
awake	5
clear	5
supply	5
mistake	5
conviction	5
join	5
deliver	5
destroy	5
overtake	5
light	5
confess	5
divide	5
force	5
treat	5
provide	5
knock	5
glance	4
employ	4
mumble	4
sigh	4
part	4
cease	4
shine	4
behave	4
extract	4
bury	4
exchange	4
shout	4
lend	4
climb	4
inspire	4
search	4
bend	4
incur	4
mount	4
prescribe	4
bolt	4
dislike	4
sweep	4
account	4
suffer	4
creep	4
obey	4
buy	4
round	4
speech	4
attract	4
expose	4
wave	4
visit	4
photograph	4
blacken	4
choke	4
apologise	4
reflect	4
afford	4
dispose	4
touch	4
swallow	4
leap	4
detain	4
bore	4
long	4
mark	4
telephone	4
settle	4
conceive	4
win	4
crack	4
express	4
redeem	4
face	4
creak	4
blaze	4
shrink	4
waste	4
die	4
hit	4
wince	4
connect	4
count	4
laugh	4
grow	4
fit	4
steal	4
weep	3
puff	3
disguise	3
prepare	3
detach	3
voyage	3
tempt	3
bed	3
sip	3
step	3
strap	3
gloat	3
action	3
interest	3
invite	3
startle	3
examine	3
oblige	3
protest	3
recover	3
interchange	3
borrow	3
boast	3
dash	3
beat	3
shrank	3
belong	3
scale	3
increase	3
haunt	3
withdraw	3
echo	3
struggle	3
founder	3
have	3
sing	3
wander	3
redouble	3
wheeze	3
lift	3
swell	3
owe	3
tread	3
flood	3
distract	3
dismiss	3
intercept	3
apply	3
prowl	3
burn	3
reduce	3
disbelieve	3
croak	3
plunge	3
vanish	3
brush	3
confine	3
puzzle	3
act	3
shrug	3
deceive	3
groan	3
brood	3
dress	3
stir	3
identify	3
bid	3
blast	3
somethe	3
sacrifice	3
flare	3
conduct	3
escape	3
motor	3
wire	3
wrapped	3
death	3
dilute	3
solve	3
describe	3
rush	3
quicken	3
dine	3
float	3
astonish	3
dare	3
pounce	3
resolve	3
tragedy	3
occur	3
discovery	3
endure	3
drag	3
blot	3
roar	3
contain	3
nod	3
question	3
allay	3
sang	3
will	3
peep	3
love	3
stoop	3
dry	3
board	3
scent	3
eye	3
shiver	3
betray	3
scream	3
pretend	3
secure	3
honour	3
desert	3
roll	3
engross	3
bother	2
correct	2
adventure	2
espy	2
scowl	2
hange	2
overflow	2
drown	2
rub	2
imply	2
excite	2
pacify	2
promote	2
undertake	2
grant	2
incline	2
air	2
push	2
deposit	2
demand	2
pay	2
expel	2
tingle	2
sank	2
entertain	2
add	2
drift	2
curl	2
mow	2
fret	2
tackle	2
quote	2
buck	2
soften	2
cure	2
score	2
teach	2
pack	2
operation	2
born	2
study	2
assume	2
stretch	2
dart	2
writhe	2
relax	2
utter	2
lack	2
bite	2
match	2
cough	2
“and	2
observe	2
rattle	2
respond	2
print	2
blush	2
conjure	2
procure	2
perceive	2
departure	2
dominate	2
discard	2
announce	2
glimmer	2
rock	2
welcome	2
clad	2
mutilate	2
kindnes	2
growl	2
hunch	2
rain	2
marvel	2
defend	2
check	2
gratify	2
behold	2
