OCCURRENCE
Evento_lema	Frecuencia
go	390
come	341
do	295
take	208
get	190
make	160
give	155
know	110
talk	98
find	83
let	81
love	76
turn	76
feel	75
move	71
write	70
fall	70
cry	68
left	67
marry	65
remember	65
meet	63
pass	63
put	62
understand	62
grow	61
sit	61
speak	60
leave	59
look	58
walk	52
forget	51
return	49
stand	46
draw	45
answer	44
rise	42
lose	42
bring	42
read	40
live	40
mean	40
wish	39
laugh	38
settle	36
happen	35
break	35
care	35
follow	35
run	35
play	35
change	34
hold	33
thank	31
lead	31
drive	31
visit	30
catch	30
mind	29
die	29
repeat	29
shake	28
admit	27
desire	27
forgive	27
call	26
raise	26
bear	26
wait	25
exclaim	25
cut	24
save	24
work	24
send	24
build	24
lay	24
throw	23
receive	23
show	22
realize	22
watch	21
sleep	21
part	21
slip	21
refuse	21
pull	20
lie	20
learn	19
listen	19
discuss	19
beg	19
pretend	19
arrive	18
use	18
pick	18
kiss	18
remark	18
connect	17
used	17
set	17
prefer	17
interrupt	17
greet	17
hide	17
cross	16
glance	16
determine	16
vanish	16
smile	16
round	16
enjoy	16
bother	16
carry	16
join	16
spend	16
pay	16
alter	16
suppose	16
eat	15
gather	15
strike	15
dislike	15
protest	15
guess	15
have	15
deal	15
close	15
hurry	14
born	14
suffer	14
pour	14
whisper	14
sigh	14
layer	14
reach	14
paid	14
mention	14
hang	14
bore	14
become	14
notice	14
hurt	13
ruin	13
sweep	13
decide	13
jump	13
fill	13
fit	13
excuse	13
scream	13
steal	13
treat	13
murmur	13
explain	13
blame	13
lean	12
imagine	12
push	12
manage	12
lower	12
descend	12
attend	12
kill	12
oblige	12
drop	12
shut	11
flow	11
blow	11
sound	11
fling	11
stroll	11
miss	11
trouble	11
fight	10
fly	10
gain	10
offend	10
retort	10
bend	10
gaze	10
spread	10
re-cover	10
despise	10
stay	10
arise	10
tire	10
fear	10
hit	10
hate	10
command	9
shine	9
imply	9
travel	9
discover	9
incline	9
argue	9
frighten	9
dress	9
tap	9
trust	9
rang	9
remind	9
prove	9
seize	9
assume	9
echo	9
interview	9
advise	9
rush	9
win	9
clear	9
behave	9
lock	9
inquire	8
waste	8
beat	8
crisi	8
bound	8
engage	8
burst	8
fade	8
hand	8
dismiss	8
arrange	8
blush	8
apologize	8
wander	8
attract	8
confess	8
buy	8
occupy	8
stick	8
annoy	8
merge	8
spoil	8
succeed	8
matter	7
regard	7
interfere	7
stretch	7
offer	7
stare	7
reply	7
mistake	7
obey	7
speech	7
censure	7
observe	7
open	7
vex	7
long	7
form	7
roll	7
ring	7
tempt	7
conversation	7
pity	7
touch	7
present	7
lunch	7
colour	7
consult	7
retreat	7
battle	7
rest	7
address	7
undertake	7
act	7
shoot	7
suit	7
unpack	7
utter	7
cover	6
belong	6
convince	6
serve	6
withdraw	6
shift	6
enter	6
share	6
emerge	6
sign	6
fix	6
stir	6
create	6
breathe	6
recognize	6
surprise	6
thrill	6
collect	6
dart	6
advance	6
respond	6
prepare	6
warm	6
count	6
increase	6
drink	6
attain	6
pain	6
develop	6
betray	6
employ	6
pardon	6
check	6
resent	6
brood	6
light	6
silence	6
disappear	6
pollard	6
upset	6
dwell	6
gleam	6
tread	6
dine	6
starve	6
cause	6
back	6
struggle	6
teach	6
sink	6
hesitate	6
pace	6
tremble	6
conceal	6
lack	6
comfort	6
yearn	6
reappear	5
amuse	5
wear	5
wave	5
ebb	5
interpret	5
lit	5
add	5
putt	5
accompany	5
concentrate	5
introduce	5
mingle	5
represent	5
pause	5
stammer	5
deceive	5
overhear	5
clean	5
strengthen	5
defend	5
convey	5
muddle	5
nod	5
pursue	5
grasp	5
entice	5
satisfy	5
contain	5
risk	5
invite	5
shout	5
provide	5
drift	5
smash	5
tidy	5
improve	5
disagree	5
tragedy	5
ignore	5
secure	5
displease	5
wipe	5
worry	5
motor	5
wither	5
float	5
rouse	5
growth	5
snatch	5
hint	5
admire	5
reflect	5
moan	5
produce	5
dream	5
figure	5
breed	5
sell	5
bathe	5
stream	5
scratch	5
sublet	5
await	5
chaff	5
shelter	5
rustle	5
pack	4
trail	4
distinguish	4
appreciate	4
disconcert	4
confront	4
refer	4
cease	4
span	4
string	4
escap	4
perform	4
dare	4
contemplate	4
bewilder	4
protect	4
blaze	4
quiver	4
flush	4
recover	4
describe	4
sneer	4
supply	4
proceed	4
implore	4
perceive	4
penetrate	4
dance	4
conquer	4
afford	4
flee	4
acquire	4
ought	4
terrify	4
drag	4
search	4
entertain	4
sing	4
scold	4
grumble	4
astonish	4
correct	4
impress	4
correspond	4
birth	4
jar	4
swear	4
survive	4
issue	4
recede	4
occur	4
furnish	4
bow	4
reassure	4
criticize	4
glow	4
plunge	4
retire	4
store	4
blur	4
differ	4
express	4
triumph	4
educate	4
frown	4
los	4
enclose	4
calm	4
steady	4
reconcile	4
excel	4
proposal	4
spare	4
owe	4
flash	4
rumble	4
rejoin	4
praise	4
question	4
stray	4
benefit	4
reveal	4
eye	4
reduce	4
select	4
depend	4
exist	4
sang	4
faint	4
toss	4
leap	4
cart	4
sob	4
creep	4
isolate	4
rob	4
confuse	4
match	4
awake	4
loose	4
beckon	4
smell	3
practise	3
fold	3
point	3
pile	3
lament	3
stroke	3
encounter	3
snap	3
decision	3
meditate	3
extend	3
shoulder	3
hasten	3
thicken	3
control	3
rattle	3
accustom	3
disobey	3
suspect	3
compress	3
deposit	3
decline	3
stoop	3
possess	3
fascinate	3
flirt	3
mirror	3
erect	3
assert	3
class	3
visualize	3
obscure	3
govern	3
survey	3
resemble	3
disturb	3
contradict	3
scatter	3
contend	3
tip	3
edge	3
cancel	3
hazard	3
persist	3
fool	3
reek	3
smoke	3
wind	3
construct	3
house	3
poise	3
slide	3
intercept	3
elude	3
dominate	3
detect	3
exchange	3
shorten	3
face	3
equip	3
adopt	3
renew	3
reject	3
wash	3
attack	3
linger	3
affect	3
sail	3
alarm	3
remove	3
devote	3
interest	3
cure	3
cheer	3
startle	3
place	3
compare	3
tick	3
herald	3
snub	3
conclude	3
nourish	3
bury	3
patronize	3
repent	3
grant	3
replace	3
transform	3
respect	3
pierce	3
stimulate	3
boast	3
smelt	3
step	3
weigh	3
group	3
contribute	3
topple	3
lift	3
assign	3
appear	3
conviction	3
profit	3
pauperize	3
wake	3
somethe	3
precede	3
intrude	3
fetch	3
camp	3
relieve	3
rebuild	3
spill	3
deserve	3
sympathize	3
cable	3
sacrifice	3
thrust	3
divide	3
disapprove	3
please	3
fancy	3
perish	3
charge	3
everythe	3
preside	3
encourage	3
rely	3
dread	3
inherit	3
discovery	3
detain	3
slow	3
purge	3
disappoint	3
unlock	3
release	3
destroy	3
judge	3
ruffle	3
empty	3
trace	3
lend	3
request	3
associate	2
sneeze	2
inflict	2
knock	2
separate	2
fulfill	2
voice	2
proclaim	2
ache	2
swing	2
content	2
arch	2
rehearse	2
invest	2
rejoice	2
accomplish	2
traverse	2
rescue	2
exact	2
confide	2
nothe	2
agitate	2
number	2
stride	2
pad	2
sprang	2
mumble	2
object	2
incident	2
droop	2
bully	2
clench	2
publish	2
enlighten	2
overshadow	2
worship	2
journey	2
evolve	2
stun	2
swallow	2
vow	2
strip	2
evoke	2
endure	2
compensate	2
appoint	2
absorb	2
premise	2
enwrap	2
encircle	2
clad	2
decorate	2
boil	2
brighten	2
corrode	2
chaperone	2
translate	2
quarrel	2
label	2
opine	2
mistrust	2
shock	2
sow	2
enshadow	2
wound	2
clap	2
bolt	2
mortar	2
dash	2
rent	2
encumber	2
expand	2
cook	2
dissolve	2
tramp	2
twist	2
pinch	2
reign	2
arouse	2
deepen	2
acquiesce	2
depress	2
collapse	2
decrease	2
poison	2
examine	2
prevail	2
chew	2
blend	2
assent	2
zigzag	2
transcend	2
dwarf	2
punish	2
book	2
ceremony	2
reopen	2
near	2
expose	2
alight	2
taste	2
occasion	2
submit	2
overtire	2
ease	2
exceed	2
trade	2
throttle	2
focus	2
transfigure	2
puzzle	2
breast	2
gasp	2
insure	2
enhance	2
witness	2
sway	2
steer	2
breakfast	2
dispute	2
mourn	2
freeze	2
paint	2
install	2
trip	2
account	2
forward	2
justify	2
shed	2
dispose	2
appeal	2
bequeath	2
tear	2
acquit	2
neglect	2
be	2
departure	2
scribble	2
voyage	2
death	2
detonate	2
bite	2
summit	2
consent	2
sever	2
stamp	2
expire	2
allude	2
labour	2
score	2
maunder	2
squeak	2
doubt	2
recollect	2
interpose	2
tender	2
groan	2
straighten	2
last	2
collide	2
promote	2
phrase	2
interchange	2
rank	2
yawn	2
double	2
discussion	2
reinsure	2
blurt	2
state	2
drawl	2
'oh	2
stifle	2
chime	2
bowl	2
detest	2
revert	2
counsel	2
calculate	2
lull	2
budge	2
mesmerize	2
seat	2
bundle	2
attach	2
bungle	2
court	2
enlarge	2
wire	2
pave	2
fellow	2
induce	2
amaze	2
swell	2
quote	2
sharpen	2
guarantee	2
force	2
throb	2
mould	2
welcome	2
retain	2
wince	2
pat	2
stigmatize	2
mislead	2
air	2
fritter	2
conduct	2
grieve	2
subscribe	2
instruct	2
stunt	2
explosion	2
decamp	2
define	2
heave	2
rain	2
recapture	2
clutch	2
destine	2
trickle	2
haunt	2
sketch	2
melt	2
feed	2
stage	2
identify	2
horrify	2
tackle	2
yield	2
disgrace	2
cost	2
climb	2
whip	2
misunderstand	2
assimilate	2
degrade	2
rule	2
vote	2
congratulate	2
bless	2
presume	2
finger	2
fasten	2
recross	2
generalize	2
expel	2
gossip	2
prosecute	2
unroll	2
track	2
entrap	2
summons	2
stack	2
demur	2
entrust	2
root	2
plant	2
defeat	2
prop	2
support	2
criticism	2
reaction	2
action	2
harm	2
flicker	2
motion	2
mar	2
wheel	2
thrash	2
sin	2
blot	2
cast	2
wrought	2
react	2
sham	2
jangle	2
tend	2
diminish	2
sweeten	2
tack	1
squeeze	1
misguide	1
leane	1
disposal	1
dust	1
query	1
expound	1
shrank	1
endow	1
imitate	1
consecrate	1
sped	1
skirt	1
confer	1
bud	1
tile	1
slate	1
commit	1
study	1
tool	1
rock	1
percolate	1
whiten	1
tar	1
smote	1
commence	1
quaver	1
explode	1
champion	1
divest	1
coin	1
box	1
unite	1
wilcox	1
ripen	1
tune	1
overthrow	1
profess	1
swathe	1
irradiate	1
flatter	1
rate	1
danger	1
commend	1
befriend	1
meeting	1
merit	1
compose	1
abstain	1
naturalize	1
celebrate	1
nurture	1
rekindle	1
vary	1
diverge	1
verse	1
bump	1
disconnect	1
hum	1
haw	1
applaud	1
dispel	1
applause	1
sum	1
supersede	1
wrapped	1
grizzle	1
indulge	1
grunt	1
intervene	1
undo	1
repose	1
slack	1
endear	1
communicate	1
flutter	1
discourse	1
distract	1
fumble	1
spoon	1
coax	1
swamp	1
gown	1
roar	1
underfeed	1
crave	1
slacken	1
demolish	1
accommodate	1
bristle	1
relinquish	1
kick	1
photograph	1
weight	1
bath	1
knit	1
adapt	1
pipe	1
luck	1
germinate	1
complicate	1
ripple	1
signify	1
fondle	1
flare	1
badger	1
jingle	1
culture	1
glide	1
sadden	1
inform	1
crowd	1
exhort	1
crimson	1
lace	1
bottle	1
water	1
totter	1
escape	1
invoke	1
preoccupy	1
flat	1
reawake	1
render	1
giggle	1
pirouette	1
boo	1
marshal	1
recur	1
burn	1
combine	1
espy	1
cling	1
quicken	1
minute	1
preach	1
deplore	1
misinterpret	1
soften	1
crumble	1
button	1
loathe	1
daze	1
dangle	1
involve	1
utilize	1
divine	1
shop	1
affirm	1
displace	1
reside	1
converse	1
delight	1
foreshorten	1
deter	1
order	1
oppress	1
throng	1
darken	1
ward	1
discern	1
compel	1
strain	1
salute	1
dig	1
perch	1
wink	1
caw	1
cleft	1
mate	1
wrench	1
abut	1
chrysant	1
untast	1
war	1
repel	1
curtain	1
sort	1
fate	1
prolong	1
reserve	1
unclasp	1
mimic	1
seal	1
scowl	1
item	1
minimize	1
stem	1
discredit	1
chase	1
transmit	1
strive	1
mount	1
impact	1
strew	1
register	1
aspire	1
collision	1
verge	1
value	1
foster	1
contrast	1
toboggan	1
overcrowd	1
conceive	1
soak	1
fabricate	1
nerve	1
stagger	1
arm	1
handle	1
swim	1
doom	1
