OCCURRENCE
Evento_lema	Frecuencia
come	274
go	223
make	172
take	168
give	167
pass	147
find	139
feel	136
know	127
do	122
speak	104
look	92
love	87
stand	76
turn	73
meet	69
rise	69
fall	62
sit	59
let	58
live	54
return	54
lay	45
left	45
wish	45
bring	41
understand	41
die	41
exclaim	41
change	39
save	38
draw	37
remember	37
walk	36
leave	36
receive	35
cause	34
hold	34
carry	34
forget	33
wait	32
suffer	32
accomplish	32
lose	31
drive	31
answer	31
steal	31
bear	31
fix	29
show	29
rest	29
strike	29
watch	28
render	28
layer	28
read	28
talk	27
wander	27
work	27
bound	25
dream	25
fill	25
follow	25
endure	25
devote	25
listen	24
gain	24
learn	23
close	23
cast	23
gaze	22
place	22
shake	22
move	21
breathe	21
struggle	21
lead	21
lift	21
trust	21
mean	21
send	20
weep	20
hide	20
gather	20
fling	20
act	20
grow	19
call	19
tremble	19
laugh	19
use	19
conceive	18
pause	18
teach	18
convey	18
occur	18
arrive	17
utter	17
raise	17
bewilder	17
bow	17
possess	17
fly	17
bend	16
win	16
break	16
dare	16
marry	16
imagine	16
rouse	16
visit	16
absorb	15
hate	15
desire	15
sleep	15
throw	15
write	15
discover	15
contain	15
shrink	15
destroy	15
linger	14
dwell	14
cling	14
admit	14
arrange	14
perform	14
shut	14
prepare	14
flee	13
clasp	13
prove	13
spend	13
put	13
convince	13
determine	13
restore	13
creep	13
quit	13
desert	13
set	12
blast	12
worship	12
eat	12
conceal	12
wear	12
thank	12
guide	12
lie	12
exist	12
round	11
distinguish	11
proceed	11
perish	11
sink	11
kill	11
become	11
stay	11
catch	11
shiver	11
fulfill	11
relieve	11
swell	11
sound	11
smile	11
advance	11
occupy	11
rush	11
present	11
form	11
labour	11
enjoy	11
mistake	11
resolve	11
fancy	10
beat	10
cease	10
murmur	10
refuse	10
kneel	10
get	10
secure	10
kiss	10
produce	10
appoint	10
conviction	10
plunge	10
address	10
speech	10
perceive	10
settle	10
ride	10
appall	10
stretch	9
request	9
burst	9
gasp	9
assemble	9
treat	9
serve	9
grant	9
lean	9
strive	9
bury	9
don’t	9
obtain	9
separate	9
happen	9
sweep	9
provide	9
subdue	9
chill	9
judge	9
escape	9
bore	9
forgive	9
rejoice	9
departure	9
cherish	8
engage	8
hang	8
grasp	8
arise	8
care	8
terrify	8
deliver	8
reach	8
fold	8
play	8
swear	8
discern	8
join	8
depart	8
procure	8
disturb	8
death	8
undertake	8
accompany	8
delight	8
sacrifice	8
toil	8
long	8
stir	8
expire	8
trample	8
exercise	8
astonish	8
doubt	8
deceive	8
ring	7
echo	7
used	7
require	7
veil	7
beseech	7
reveal	7
brighten	7
soothe	7
sing	7
deal	7
satisfy	7
ascertain	7
stricken	7
offer	7
bestow	7
share	7
induce	7
enable	7
charm	7
acquaint	7
reflect	7
hurry	7
conversation	7
assume	7
observe	7
rage	7
wave	7
crisi	7
repeat	7
suppose	7
attain	7
glide	7
respect	7
spring	7
resolution	7
despair	7
decide	7
build	6
wake	6
shine	6
exhaust	6
deserve	6
pour	6
interview	6
mourn	6
vary	6
bless	6
except	6
part	6
search	6
oblige	6
trial	6
abide	6
foresee	6
arrival	6
chain	6
lit	6
darken	6
crush	6
remind	6
pierce	6
heed	6
beg	6
minister	6
flash	6
experience	6
reign	6
release	6
drag	6
consent	6
compose	6
describe	6
manifest	6
cut	6
resemble	6
relax	6
glance	6
open	6
will	6
condemn	6
remove	6
bid	6
please	6
betray	6
reproach	6
pine	6
sob	6
torture	6
increase	5
fear	5
distort	5
enter	5
touch	5
crave	5
strip	5
risk	5
comfort	5
surround	5
roll	5
lain	5
pant	5
express	5
amuse	5
confuse	5
entreat	5
remark	5
awaken	5
witness	5
link	5
dress	5
blow	5
communicate	5
accustom	5
penetrate	5
excuse	5
venture	5
attract	5
welcome	5
maintain	5
startle	5
excite	5
afford	5
succeed	5
wind	5
reduce	5
ponder	5
battle	5
sprung	5
embody	5
beam	5
shout	5
effect	5
spread	5
whisper	5
choke	5
recall	5
seize	5
exult	5
clothe	4
seat	4
stagger	4
cower	4
prompt	4
avail	4
recollect	4
scoff	4
neglect	4
hand	4
cry	4
shrug	4
putt	4
analyze	4
adopt	4
instruct	4
examine	4
matter	4
profess	4
concentrate	4
moulder	4
drop	4
sting	4
flit	4
deepen	4
journey	4
flow	4
shoot	4
inquire	4
employ	4
brave	4
tread	4
converse	4
confess	4
run	4
writhe	4
stream	4
conduct	4
derive	4
obey	4
detail	4
discuss	4
shrank	4
throb	4
wither	4
dispel	4
gratify	4
announce	4
pain	4
appreciate	4
attend	4
mock	4
disappear	4
dine	4
mutter	4
interfere	4
introduce	4
acquire	4
account	4
