OCCURRENCE
Evento_lema	Frecuencia
come	782
make	700
go	682
do	574
take	421
give	392
find	300
know	255
wish	235
speak	223
write	219
talk	209
look	208
bring	189
get	175
sit	166
meet	157
let	154
read	154
feel	152
turn	150
bear	142
answer	141
put	138
return	133
exclaim	127
left	125
walk	123
stand	121
show	115
cry	115
hold	115
set	114
leave	112
used	109
wait	107
smile	101
grow	97
laugh	95
pass	88
remember	87
send	87
oblige	86
thank	84
lose	84
guess	81
receive	80
break	79
forget	78
lead	76
carry	73
fall	72
visit	72
understand	72
throw	71
run	69
beg	67
trust	64
perceive	64
spend	63
mean	61
rise	61
watch	60
proceed	59
drive	58
stay	58
enjoy	58
act	55
change	53
attend	53
care	53
forgive	53
settle	52
learn	52
draw	51
move	51
sleep	50
cause	49
listen	48
lay	47
follow	47
love	47
call	46
repeat	45
catch	44
shake	44
play	44
shut	43
rest	42
raise	42
suffer	41
work	41
layer	40
fix	40
hurt	39
whisper	39
rejoice	39
round	39
join	38
use	38
deal	37
marry	37
strike	36
live	36
satisfy	36
comfort	36
save	36
regard	36
spare	36
admire	35
teach	34
cut	34
lie	33
delight	33
lean	33
pause	33
dress	33
endure	33
die	32
resolve	32
sing	32
vex	32
wear	31
putt	31
recollect	31
treat	30
restore	30
become	30
prove	30
kiss	30
happen	29
venture	29
judge	28
miss	28
gain	28
conversation	28
fancy	28
mention	28
refuse	27
convince	27
observe	27
arrive	27
grieve	27
imagine	27
reach	27
cheer	26
close	26
desire	26
disappoint	26
gather	26
gaze	26
force	25
ride	25
relieve	25
part	25
suppose	25
sigh	25
dance	25
betray	24
mind	24
advise	24
hasten	24
hide	23
interrupt	23
behave	23
hang	23
bound	23
pay	23
win	23
cross	23
cease	23
alter	22
rush	22
bend	22
inquire	22
succeed	22
recover	22
open	21
fetch	21
check	21
conduct	21
dread	21
shine	20
dare	20
suit	20
struggle	20
amuse	20
pity	20
soften	20
resolution	20
occupy	20
startle	20
fly	19
depart	19
dislike	19
murmur	19
apply	19
rouse	19
long	19
discover	19
engage	19
wander	19
knock	19
console	19
dwell	19
weep	19
nurse	18
lift	18
provoke	18
offer	18
render	18
cast	18
incline	18
strive	18
blush	18
deserve	18
linger	18
place	17
last	17
light	17
tire	17
appear	17
dine	17
confess	17
tremble	17
conceal	17
repent	16
hurry	16
teaze	16
fit	16
study	16
spoil	16
frighten	16
displease	16
'did	15
behold	15
waste	15
colour	15
attach	15
stir	15
los	15
hunt	15
subdue	15
interfere	15
'thank	15
submit	15
utter	15
overpower	15
request	15
death	14
occasion	14
undertake	14
afford	14
sink	14
heart	14
glance	14
stretch	14
arise	14
mutter	14
shrink	14
form	14
enable	14
wont	14
convey	14
enter	14
abuse	14
manage	14
clear	14
consent	13
encourage	13
brighten	13
justify	13
dream	13
excite	13
speech	13
excuse	13
departure	13
kneel	13
annoy	13
increase	13
flatter	13
defend	13
recall	13
obey	12
offend	12
drink	12
escape	12
support	12
pull	12
shoot	12
please	12
remind	12
cover	12
reckon	12
pretend	12
entertain	12
reflect	12
re-cover	12
disturb	12
bestow	12
alarm	12
respect	12
owe	12
pick	12
share	12
connect	12
explain	12
injure	12
flush	12
soothe	12
search	11
depend	11
born	11
entreat	11
affect	11
reveal	11
wake	11
repress	11
deem	11
fade	11
exert	11
dispose	11
address	11
confuse	11
scold	11
congratulate	11
devote	11
hesitate	11
fill	11
serve	11
doubt	11
compose	11
paid	11
mark	11
greet	10
attack	10
sound	10
pour	10
spring	10
torment	10
advance	10
grumble	10
express	10
gratify	10
praise	10
sprung	10
puzzle	10
drop	10
sign	10
drag	10
blame	10
sacrifice	10
yield	10
honour	10
reproach	10
engross	10
remark	10
sweep	10
mistake	10
vow	10
muse	10
provide	10
improve	10
expose	10
dash	10
recognise	10
revive	10
produce	9
overlook	9
dart	9
attract	9
whistle	9
climb	9
irritate	9
fight	9
bless	9
eat	9
push	9
object	9
hate	9
rang	9
flow	9
undergo	9
silence	9
beat	9
prepare	9
despise	9
smooth	9
marvel	9
discuss	9
neglect	9
hand	9
argue	9
conquer	9
touch	9
secure	9
ruin	9
fold	9
caress	9
preserve	9
determine	9
perform	9
seize	9
fear	9
admit	9
exhaust	9
strengthen	9
restrain	9
cling	9
prevail	9
arrange	9
ache	9
tie	8
escap	8
possess	8
curl	8
bore	8
wag	8
summons	8
divide	8
trouble	8
devise	8
hear	8
consult	8
pace	8
absorb	8
reply	8
invite	8
derive	8
add	8
tease	8
reduce	8
protest	8
involve	8
burst	8
fatigue	8
calculate	8
belong	8
contrive	8
appreciate	8
shed	8
clasp	8
awake	8
contrast	7
haunt	7
tumble	7
stick	7
disconcert	7
introduce	7
inflict	7
interpose	7
envy	7
stifle	7
arrival	7
practise	7
require	7
contract	7
decide	7
present	7
buy	7
'have	7
drown	7
jump	7
trial	7
surprise	7
battle	7
communicate	7
refresh	7
sustain	7
occur	7
exercise	7
twist	7
trace	7
fulfill	7
profess	7
perplex	7
travel	7
reassure	7
beam	7
sprang	7
awaken	7
refer	7
content	7
overtake	7
persecute	7
realize	7
embrace	7
proposal	7
lock	7
ring	7
describe	7
refrain	7
creep	6
spread	6
shudder	6
maintain	6
rattle	6
train	6
divert	6
notice	6
lament	6
collect	6
fee	6
leap	6
translate	6
lend	6
remove	6
float	6
cost	6
forfeit	6
rescue	6
seat	6
chafe	6
overcome	6
misunderstand	6
groan	6
occupation	6
'nothe	6
regret	6
throb	6
impute	6
shade	6
tread	6
patronize	6
guide	6
build	6
distinguish	6
exhibit	6
pursue	6
droop	6
be	6
master	6
renew	6
banish	6
ruffle	6
suffice	6
indulge	6
signify	6
reign	6
acquire	6
pardon	6
shock	6
manifest	6
forbid	6
harass	6
prefer	6
overwhelm	6
church	6
exchange	6
breathe	6
oppress	6
wind	6
sob	6
commence	5
interview	5
kill	5
remonstrate	5
account	5
bury	5
weigh	5
brush	5
accompany	5
apologize	5
swallow	5
bid	5
create	5
glow	5
partake	5
roll	5
prosper	5
cure	5
wave	5
rain	5
bite	5
amaze	5
quit	5
moralize	5
scream	5
trifle	5
hint	5
bade	5
exist	5
brood	5
conviction	5
torture	5
inspire	5
mend	5
dismiss	5
meditate	5
declare	5
sketch	5
release	5
confide	5
distract	5
mount	5
retreat	5
retain	5
resign	5
entangle	5
falter	5
damp	5
recur	5
face	5
resist	5
command	5
quarrel	5
withstand	5
aid	5
exclude	5
grant	5
flash	5
seal	5
lodge	5
pine	5
assistance	5
comprehend	5
detain	5
disappear	5
distress	5
fasten	5
free	5
await	5
shout	5
sank	5
confine	5
rave	5
reward	5
shrank	5
represent	4
'tell	4
somethe	4
rub	4
overhang	4
tame	4
stroke	4
assume	4
match	4
mystify	4
crouch	4
contemplate	4
proceeding	4
implore	4
adopt	4
plume	4
race	4
charm	4
interest	4
gush	4
compassionate	4
disregard	4
suspect	4
arm	4
humble	4
toss	4
resent	4
idolize	4
fondle	4
misplace	4
sail	4
scramble	4
favour	4
persevere	4
destroy	4
head	4
appoint	4
harm	4
undo	4
smoke	4
deepen	4
quiz	4
punish	4
fidget	4
guard	4
kindle	4
crush	4
result	4
lower	4
yawn	4
esteem	4
subside	4
blind	4
swing	4
wheel	4
disdain	4
flutter	4
bathe	4
cool	4
separate	4
amount	4
repose	4
affront	4
brace	4
astonish	4
announce	4
count	4
risk	4
detect	4
dawn	4
disapprove	4
demand	4
profit	4
echo	4
withhold	4
sober	4
appall	4
bewilder	4
growth	4
overwork	4
withdraw	4
agitate	4
wet	4
squeeze	4
bet	4
gamble	4
persist	4
imply	4
propitiate	4
breakfast	4
befit	4
tempt	4
stoop	4
disposal	4
swell	4
insult	4
game	4
pain	4
slip	4
abide	4
storm	4
lessen	4
thunder	4
transact	4
enclose	4
thicken	4
thrill	4
warm	4
launch	4
descend	4
wipe	4
faint	4
triumph	4
steer	4
steady	4
grasp	4
defer	4
retard	4
rally	4
desert	4
calm	4
scorn	4
bed	4
except	4
announcement	3
crumble	3
crown	3
sharpen	3
pinch	3
apprehend	3
swear	3
attain	3
summon	3
lick	3
evaporate	3
discovery	3
bleed	3
ensue	3
soliloquize	3
lavish	3
trip	3
heed	3
relax	3
inherit	3
condemn	3
gainsay	3
heave	3
approval	3
stream	3
denote	3
ascend	3
'are	3
discussion	3
wither	3
expostulate	3
accomplish	3
accustom	3
growl	3
confound	3
quiver	3
taste	3
darken	3
charge	3
march	3
promote	3
compromise	3
sparkle	3
flit	3
flee	3
root	3
revolt	3
construe	3
forbear	3
disobey	3
imitate	3
widen	3
copy	3
joke	3
chain	3
excel	3
poach	3
crowd	3
welcome	3
disentangle	3
founder	3
hammer	3
embellish	3
depreciate	3
enchant	3
lecture	3
reject	3
contribute	3
glory	3
surrender	3
pack	3
earn	3
mortify	3
wrong	3
bow	3
caution	3
detail	3
ease	3
employ	3
ponder	3
ascribe	3
sell	3
relinquish	3
drum	3
protect	3
brook	3
refine	3
repine	3
transplant	3
pair	3
border	3
preside	3
bind	3
precede	3
value	3
relent	3
term	3
direct	3
fret	3
elude	3
shun	3
reason	3
induce	3
augur	3
convulse	3
clench	3
payment	3
nestle	3
right	3
busy	3
link	3
plant	3
unite	3
blow	3
survey	3
fathom	3
condescend	3
diminish	3
baptize	3
have	3
endear	3
avert	3
enliven	3
shipwreck	3
moan	3
borrow	3
order	3
repair	3
respond	3
pat	3
fulfil	3
hush	3
govern	3
overthrow	3
atone	3
worship	3
tend	3
dictate	3
feast	3
compound	3
inform	3
unpack	3
consist	3
acquiesce	3
rely	3
embark	3
forsake	3
gasp	3
sprinkle	3
'now	3
intrude	3
glide	3
pet	3
conference	3
christen	3
supply	2
peep	2
stare	2
steal	2
reconciliation	2
mould	2
wrapt	2
blanch	2
cripple	2
window	2
feud	2
plague	2
thrust	2
rear	2
lug	2
adore	2
repel	2
wince	2
covet	2
tint	2
define	2
tan	2
rebel	2
fritter	2
wall	2
criticise	2
compensate	2
isolate	2
imprison	2
slope	2
assemble	2
knit	2
crutch	2
eclipse	2
pervert	2
eddy	2
swim	2
worry	2
impress	2
assent	2
pluck	2
stride	2
slight	2
influence	2
sense	2
unravel	2
smell	2
retire	2
wrench	2
dawdle	2
quote	2
correspond	2
re-serve	2
educate	2
domineer	2
fag	2
'when	2
'then	2
land	2
poke	2
gleam	2
rankle	2
bit	2
couple	2
disorder	2
'walk	2
waylay	2
sentence	2
action	2
foster	2
ferret	2
wrangle	2
nettle	2
defy	2
reconcile	2
entail	2
narrate	2
sin	2
loathe	2
penetrate	2
obscure	2
appease	2
solace	2
misuse	2
regulate	2
'for	2
snap	2
forestall	2
rejoin	2
applaud	2
vanish	2
'and	2
allude	2
revel	2
hum	2
unbend	2
'so	2
toil	2
discontinue	2
saw	2
trim	2
flourish	2
weave	2
strip	2
reck	2
'keep	2
blight	2
versify	2
confer	2
whirl	2
sever	2
wash	2
dissipate	2
'but	2
'because	2
swerve	2
time	2
danger	2
nod	2
disabuse	2
absent	2
abstain	2
mistrust	2
discourage	2
feed	2
impart	2
display	2
procure	2
reserve	2
dismount	2
incense	2
surmount	2
boast	2
unsettle	2
idle	2
print	2
harden	2
addict	2
appointment	2
flirt	2
adhere	2
divine	2
cloud	2
giggle	2
exculpate	2
combat	2
interpret	2
pant	2
prize	2
adjust	2
hop	2
joy	2
scheme	2
preach	2
endorse	2
exceed	2
violence	2
disprove	2
sadden	2
subject	2
obtain	2
meeting	2
cherish	2
chatter	2
benefit	2
dwindle	2
develop	2
control	2
lash	2
magnify	2
refute	2
wound	2
deposit	2
exile	2
investigation	2
shadow	2
transaction	2
heap	2
combine	2
twilight	2
lengthen	2
prescribe	2
situate	2
shriek	2
strain	2
rock	2
examine	2
plunge	2
floor	2
interrogate	2
forward	2
picture	2
sang	2
misgive	2
unlock	2
demonstration	2
disable	2
waken	2
howl	2
like	2
spy	2
glitter	2
shorten	2
inhabit	2
indite	2
disbelieve	2
enlighten	2
better	2
reel	2
foot	2
wrapped	2
ejaculate	2
conjure	2
sympathize	2
betoken	2
restoration	2
commit	2
establish	2
evince	2
supplant	2
fling	2
sanction	2
publish	2
disgust	2
tour	2
overflow	2
dilate	2
decline	2
avow	2
grunt	2
furnish	2
row	2
contend	2
lighten	2
destine	2
melt	2
presume	2
discontent	2
awe	2
humour	2
embitter	2
loiter	2
aggravate	2
moisten	2
abate	2
deliver	2
pencil	2
deceive	2
avail	2
edify	2
undress	2
recovery	2
treasure	2
begin	2
shiver	2
resignation	2
mingle	2
mope	2
conclude	2
'anythe	2
doze	2
testify	2
birth	2
mar	2
decision	2
deject	2
uphold	2
evade	2
till	2
brave	2
inspect	2
humiliate	2
desist	2
sorrow	2
weaken	2
doctor	2
'come	2
experience	2
hover	2
reside	1
'wink	1
pen	1
'bury	1
murder	1
fetter	1
button	1
exaggerate	1
'serve	1
rustle	1
practice	1
afflict	1
fringe	1
curve	1
reconnoitre	1
gammon	1
'the	1
lounge	1
puritanize	1
extinguish	1
mate	1
'were	1
loss	1
stalk	1
caper	1
nibble	1
twitch	1
tickle	1
concentrate	1
'meane	1
trot	1
prune	1
titter	1
chat	1
freeze	1
hiss	1
philosophize	1
tinsel	1
bleat	1
halloo	1
throttle	1
adjourn	1
officiate	1
explosion	1
encroach	1
peruse	1
shop	1
smack	1
dig	1
consequence	1
class	1
delude	1
cap	1
'poke	1
espouse	1
rein	1
ryle	1
jest	1
-'love	1
beguile	1
'prance	1
relate	1
'would	1
authenticate	1
outburst	1
falsify	1
bribe	1
execrate	1
curry	1
liken	1
expansion	1
bawl	1
'drive	1
guiltd	1
kick	1
purchase	1
palliate	1
shield	1
encounter	1
dull	1
conceive	1
stain	1
fate	1
earthquake	1
aggrieve	1
demonstrate	1
nip	1
paw	1
discomfit	1
breed	1
enlarge	1
adapt	1
arrest	1
disenchant	1
bethink	1
wherewithal	1
creation	1
shooting	1
somebody	1
freshen	1
haymaker	1
luxuriate	1
bask	1
'after	1
captain	1
fun	1
dissolve	1
scribble	1
second	1
boat	1
whisk	1
handle	1
thatch	1
development	1
quadril	1
uplift	1
blot	1
beautify	1
accession	1
outcry	1
twirl	1
range	1
furbish	1
coincide	1
compare	1
'insult	1
accelerate	1
tongue	1
rhyme	1
verse	1
'promise	1
repass	1
recite	1
unwarn	1
criticize	1
'here	1
flog	1
adduce	1
shrug	1
parade	1
pervade	1
question	1
'except	1
achieve	1
addition	1
cushion	1
frame	1
pique	1
countenance	1
overdo	1
shift	1
mistime	1
hinder	1
pleasure	1
shoulder	1
lull	1
stumble	1
comment	1
burthen	1
shirk	1
fool	1
wrest	1
smote	1
hit	1
estrange	1
deprecate	1
consort	1
recourse	1
obviate	1
appropriate	1
'king	1
disown	1
retort	1
repay	1
chaperon	1
converse	1
choose	1
fascinate	1
electrify	1
develope	1
coquet	1
degrade	1
test	1
relish	1
accost	1
mantle	1
survive	1
divulge	1
mislead	1
discountenance	1
despair	1
anger	1
polk	1
gossip	1
mixture	1
beset	1
lop	1
'cut	1
''the	1
thrive	1
indoctrinate	1
enjoin	1
hinge	1
overspread	1
garden	1
unloos	1
participate	1
trudge	1
lag	1
shelter	1
approach	1
'thread	1
pacify	1
'wind	1
herd	1
embolden	1
cower	1
distrust	1
counterbalance	1
'put	1
trail	1
exult	1
peer	1
cock	1
spurn	1
warn	1
actuate	1
satisfaction	1
acquit	1
-thank	1
unfit	1
assign	1
accident	1
date	1
outstaid	1
eradicate	1
'gamble	1
stammer	1
patience	1
corroborate	1
pry	1
piece	1
reclaim	1
inspection	1
convict	1
extricate	1
cultivate	1
venerate	1
impede	1
exalt	1
wink	1
disagree	1
maintenance	1
curtsey	1
retrieve	1
sidle	1
glean	1
crimson	1
'slander	1
'than	1
emerge	1
sway	1
impose	1
summit	1
loosen	1
misconstrue	1
sow	1
-malign	1
beware	1
wreak	1
wrought	1
barter	1
horror	1
compel	1
'forgive	1
heal	1
defeat	1
uncle	1
equalle	1
re-trace	1
detest	1
retract	1
hoodwink	1
conjecture	1
hatch	1
wield	1
recoil	1
wrath	1
omit	1
overhear	1
mix	1
modify	1
gall	1
inflame	1
invent	1
slander	1
endeavour	1
dispute	1
certify	1
aspire	1
wretchednes	1
frisk	1
acquaint	1
further	1
choke	1
'do	1
