OCCURRENCE
Evento_lema	Frecuencia
cry	267
take	104
come	90
give	77
go	76
rejoin	69
find	63
make	55
exclaim	49
pass	48
do	47
get	46
bring	44
place	37
gaze	33
stand	32
return	31
turn	30
speak	28
fall	26
look	25
behold	25
hold	23
draw	21
left	21
lose	21
don’t	21
remark	20
reach	20
follow	20
fill	19
lead	19
live	19
fix	18
let	18
move	18
inquire	17
raise	17
meet	17
cover	16
utter	16
throw	16
strike	16
drop	16
pursue	16
observe	16
quit	16
open	15
proceed	15
arise	15
fancy	15
save	15
shake	15
descend	15
seize	15
hang	14
seat	14
bear	14
thrust	14
carry	14
change	14
discover	14
scream	14
examine	14
leave	14
break	13
groan	12
wear	12
perceive	12
put	12
glance	12
become	12
cast	12
set	12
prove	12
arrive	12
regard	12
wot	12
talk	12
bound	12
close	11
lay	11
receive	11
disappear	11
answer	11
pause	11
run	11
catch	11
laugh	11
advance	11
search	11
buy	11
steal	11
sell	11
round	10
work	10
produce	10
breathe	10
occasion	10
destroy	10
walk	10
fly	10
happen	10
pay	10
rise	10
interrupt	10
light	9
watch	9
possess	9
repeat	9
know	9
convey	9
layer	9
notice	9
lie	9
recollect	9
whisper	9
feel	9
listen	9
can’t	9
cross	9
touch	9
deliver	9
frighten	9
sit	9
wish	9
love	9
issue	8
occupy	8
gain	8
comply	8
play	8
communicate	8
conceal	8
contain	8
drink	8
snatch	8
struggle	8
lock	8
hurry	8
drag	8
shut	8
accompany	7
reveal	7
tie	7
cut	7
suffer	7
display	7
disturb	7
attend	7
grasp	7
mutter	7
distinguish	7
sprang	7
send	7
von’t	7
indulge	7
show	6
care	6
obey	6
engage	6
die	6
burst	6
rouse	6
enable	6
plunge	6
befall	6
stretch	6
form	6
bury	6
creep	6
share	6
ascend	6
afford	6
wait	6
address	6
rest	6
read	6
echo	6
remove	6
drive	6
re-cover	6
dash	6
elapse	6
alarm	6
mean	6
forget	6
satisfy	6
deceive	6
collect	5
stick	5
chance	5
arrest	5
knock	5
spend	5
depart	5
depend	5
fling	5
pour	5
escape	5
learn	5
occur	5
cause	5
serve	5
discern	5
stamp	5
bow	5
increase	5
ain’t	5
push	5
decorate	5
ven	5
enter	5
retreat	5
vant	5
kick	5
mind	5
encounter	5
mention	5
remember	5
procure	5
mount	5
exhibit	5
endure	5
withdraw	5
rescue	5
call	5
neglect	5
“and	5
write	5
recognise	5
swear	5
fashion	5
inscribe	5
sign	5
emerge	4
situate	4
consist	4
employ	4
plant	4
garnish	4
accomplish	4
departure	4
startle	4
lift	4
sank	4
clad	4
rub	4
engross	4
apply	4
revive	4
dream	4
used	4
fasten	4
refer	4
imagine	4
expire	4
suppose	4
charge	4
act	4
recall	4
succeed	4
preserve	4
restrain	4
render	4
shriek	4
