OCCURRENCE
Evento_lema	Frecuencia
come	287
go	193
take	193
make	191
stand	117
draw	117
speak	117
give	116
cry	111
turn	110
look	99
do	97
fall	86
find	84
run	76
wait	73
sit	71
left	68
know	66
set	63
ride	61
pass	60
feel	59
walk	59
hold	58
laugh	54
rise	52
let	47
return	47
bring	47
answer	46
put	44
write	44
sleep	44
reach	43
get	42
remember	41
drive	40
break	40
show	39
travel	39
drop	39
exclaim	39
understand	38
move	38
love	38
cross	36
raise	35
lose	35
marry	35
close	34
catch	33
change	32
grow	32
talk	32
carry	32
leave	31
stay	30
follow	30
slip	29
wake	29
wear	28
leane	28
read	28
fling	27
wish	27
strike	27
listen	27
lead	26
forget	26
bend	26
hand	26
lay	25
meet	25
discover	25
watch	25
climb	24
shut	24
play	24
sprang	23
repeat	23
creep	23
lift	23
send	22
hang	22
receive	22
shake	22
beg	21
bow	21
hurry	21
remark	21
rescue	21
nod	21
live	21
fill	20
stare	20
open	20
hide	20
lie	19
utter	19
throw	19
die	19
visit	19
knock	19
serve	18
smile	18
cease	18
layer	18
mount	17
pick	17
whisper	17
light	17
suffer	17
guess	16
happen	15
gather	15
search	15
notice	15
push	15
thrust	15
stretch	15
prove	15
fix	15
shine	14
paid	14
work	14
bade	14
admit	14
bid	14
interrupt	14
trust	14
shiver	14
eat	14
count	13
present	13
escap	13
leap	13
explain	12
kiss	12
join	12
fight	12
dare	12
sweep	12
bear	12
advance	12
refuse	12
weep	12
used	11
glance	11
startle	11
stir	11
recognise	11
strain	11
force	11
hate	11
beat	10
lower	10
arrest	10
fire	10
gaze	10
seat	10
speech	10
puzzle	10
disappear	10
kneel	10
hinder	10
paint	10
swing	10
spread	10
born	10
thank	10
roll	9
swear	9
desire	9
shout	9
tremble	9
fetch	9
occur	9
ceremony	9
steal	9
save	9
endure	9
stoop	9
burn	9
stumble	9
re-cover	9
place	9
cling	9
flash	9
rang	8
drink	8
jump	8
twist	8
sank	8
stamp	8
dream	8
kick	8
blow	8
spy	8
groan	8
lock	8
breathe	8
attack	8
wound	8
foot	8
drag	8
rap	8
hurt	8
build	8
linger	8
use	7
deal	7
hesitate	7
descend	7
blame	7
withdraw	7
reveal	7
seize	7
dress	7
trouble	7
waste	7
win	7
buy	7
welcome	7
sang	7
betray	7
conceal	7
creak	7
reflect	7
spare	7
lit	7
shrug	7
pace	7
none	7
strive	7
gallop	7
dismount	6
crawl	6
inquire	6
burst	6
hire	6
saunter	6
flush	6
stammer	6
ring	6
match	6
secure	6
venture	6
imprison	6
attend	6
cut	6
distinguish	6
incline	6
vanish	6
cause	6
learn	6
engage	6
become	6
remove	6
act	6
spend	6
mistake	6
escape	6
risk	6
lean	6
round	6
argue	6
rush	6
retain	6
crouch	6
clasp	6
satisfy	6
smoke	5
prefer	5
proceed	5
guard	5
step	5
summons	5
tire	5
falter	5
kill	5
fancy	5
disturb	5
mark	5
envy	5
await	5
wrapped	5
mention	5
succeed	5
rest	5
pester	5
lodge	5
journey	5
forbid	5
toss	5
reassure	5
check	5
sound	5
consent	5
gain	5
guide	5
miss	5
prop	5
overlook	5
pull	5
bound	5
lurch	5
charge	5
obey	5
struggle	5
flow	5
blaze	5
bed	5
sigh	5
mind	5
rob	5
forgive	5
appeal	5
comfort	5
wind	5
curse	5
peer	5
escort	5
protest	4
regard	4
crack	4
rock	4
offer	4
mutter	4
settle	4
march	4
sup	4
wring	4
